FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0030,-0.0048,0.0647,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.2096,0.2459,0.0067,-0.4449,0.7370,-0.4703,-0.1943
0,Left,2,0.0314,-0.0137,0.0333,-0.1763,0.3081,-0.5065,0.7858,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.0610,-0.0650,0.0832,0.9925,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,-0.1392,0.0712,-0.0847,0.9841,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0204,-0.0083,0.0359,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0031,0.0010,0.0601,0.1133,-0.0928,-0.0270,0.9888,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.0958,-0.0047,0.0262,0.9950,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.0087,-0.0259,0.0165,0.9995,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0042,-0.0071,0.0337,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0025,0.0045,0.0619,0.1833,-0.1097,0.0236,0.9766,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.0409,-0.0039,0.0115,0.9991,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,-0.0388,-0.0022,0.0398,0.9985,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1996,-0.1216,0.0711,0.9697,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.0353,-0.0018,0.0344,0.9988,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.0104,0.0294,0.0051,0.9995,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.1510,0.0178,-0.0885,0.9844,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.0883,-0.0388,0.0464,0.9943,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,-0.0013,0.0492,-0.0007,0.9988,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0017,-0.0057,0.0655,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.2633,0.2601,0.0697,0.3245,0.4569,-0.6091,0.5612
0,Right,2,-0.0263,-0.0210,0.0368,0.0864,-0.4158,0.6580,0.6218,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.1752,0.0545,-0.0823,0.9796,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,-0.0829,-0.0669,0.0839,0.9908,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0179,-0.0120,0.0376,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0057,0.0046,0.0584,0.3269,0.0460,0.0273,0.9435,0.000,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.2336,0.0010,-0.0263,0.9720,0.000,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.0767,0.0247,-0.0168,0.9966,0.000,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,11,-0.0016,-0.0089,0.0354,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,12,-0.0001,0.0063,0.0602,0.3665,0.0808,-0.0353,0.9262,0.000,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.2051,0.0020,-0.0123,0.9787,0.000,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.0539,-0.0018,-0.0488,0.9973,0.000,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.3444,0.1034,-0.0857,0.9292,0.000,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.1782,-0.0030,-0.0375,0.9833,0.000,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.1024,-0.0296,-0.0094,0.9943,0.000,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9680,0.000,,,,,,,
0,Right,22,0.0000,0.0000,0.0457,0.2339,0.0341,0.0757,0.9687,0.000,,,,,,,
0,Right,23,0.0000,0.0000,0.0307,0.2036,0.0336,-0.0558,0.9769,0.000,,,,,,,
0,Right,24,0.0000,0.0000,0.0203,0.0735,-0.0490,0.0010,0.9961,0.000,,,,,,,
0,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
1,Left,0,0.0030,-0.0048,0.0647,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.1991,0.2320,-0.0059,-0.5091,0.7026,-0.4620,-0.1838
1,Left,2,0.0314,-0.0137,0.0333,-0.1903,0.2868,-0.4985,0.7956,0.042,,,,,,,
1,Left,3,0.0000,0.0000,0.0325,0.0558,-0.0655,0.0832,0.9928,0.042,,,,,,,
1,Left,4,0.0000,0.0000,0.0338,-0.1383,0.0711,-0.0847,0.9842,0.042,,,,,,,
1,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,6,0.0204,-0.0083,0.0358,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,7,0.0031,0.0010,0.0601,0.1503,-0.1022,-0.0238,0.9831,0.042,,,,,,,
1,Left,8,0.0000,0.0000,0.0379,0.1193,-0.0041,0.0263,0.9925,0.042,,,,,,,
1,Left,9,0.0000,0.0000,0.0243,0.0219,-0.0257,0.0166,0.9993,0.042,,,,,,,
1,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,11,0.0042,-0.0070,0.0337,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,12,-0.0025,0.0045,0.0620,0.2160,-0.1098,0.0272,0.9698,0.042,,,,,,,
1,Left,13,0.0000,0.0000,0.0429,0.0561,-0.0037,0.0116,0.9984,0.042,,,,,,,
1,Left,14,0.0000,0.0000,0.0275,-0.0352,-0.0021,0.0401,0.9986,0.042,,,,,,,
1,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,17,-0.0025,-0.0005,0.0539,0.2252,-0.1110,0.0726,0.9653,0.042,,,,,,,
1,Left,18,0.0000,0.0000,0.0390,0.0486,-0.0013,0.0347,0.9982,0.042,,,,,,,
1,Left,19,0.0000,0.0000,0.0266,0.0119,0.0294,0.0052,0.9995,0.042,,,,,,,
1,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.042,,,,,,,
1,Left,22,0.0000,0.0000,0.0457,0.1637,0.0293,-0.0899,0.9820,0.042,,,,,,,
1,Left,23,0.0000,0.0000,0.0307,0.0900,-0.0387,0.0465,0.9941,0.042,,,,,,,
1,Left,24,0.0000,0.0000,0.0203,0.0004,0.0492,-0.0007,0.9988,0.042,,,,,,,
1,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,0,-0.0017,-0.0057,0.0655,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,0.2656,0.2607,0.0701,0.3246,0.4575,-0.6076,0.5624
1,Right,2,-0.0263,-0.0210,0.0368,0.0882,-0.4163,0.6586,0.6206,0.042,,,,,,,
1,Right,3,0.0000,0.0000,0.0325,0.1754,0.0545,-0.0823,0.9795,0.042,,,,,,,
1,Right,4,0.0000,0.0000,0.0338,-0.0846,-0.0671,0.0840,0.9906,0.042,,,,,,,
1,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,6,-0.0178,-0.0120,0.0376,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,7,-0.0057,0.0047,0.0584,0.3269,0.0458,0.0274,0.9436,0.042,,,,,,,
1,Right,8,0.0000,0.0000,0.0379,0.2336,0.0010,-0.0263,0.9720,0.042,,,,,,,
1,Right,9,0.0000,0.0000,0.0243,0.0757,0.0247,-0.0168,0.9967,0.042,,,,,,,
1,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,11,-0.0016,-0.0089,0.0354,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,12,-0.0001,0.0063,0.0602,0.3664,0.0802,-0.0351,0.9263,0.042,,,,,,,
1,Right,13,0.0000,0.0000,0.0429,0.2064,0.0019,-0.0123,0.9784,0.042,,,,,,,
1,Right,14,0.0000,0.0000,0.0275,0.0536,-0.0018,-0.0488,0.9974,0.042,,,,,,,
1,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,17,0.0025,-0.0005,0.0539,0.3435,0.1037,-0.0856,0.9295,0.042,,,,,,,
1,Right,18,0.0000,0.0000,0.0390,0.1809,-0.0031,-0.0375,0.9828,0.042,,,,,,,
1,Right,19,0.0000,0.0000,0.0266,0.1014,-0.0296,-0.0094,0.9944,0.042,,,,,,,
1,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9680,0.042,,,,,,,
1,Right,22,0.0000,0.0000,0.0457,0.2326,0.0354,0.0755,0.9690,0.042,,,,,,,
1,Right,23,0.0000,0.0000,0.0307,0.2046,0.0336,-0.0559,0.9767,0.042,,,,,,,
1,Right,24,0.0000,0.0000,0.0203,0.0726,-0.0490,0.0010,0.9962,0.042,,,,,,,
1,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
2,Left,0,0.0030,-0.0048,0.0647,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
2,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.083,-0.1906,0.2250,-0.0234,-0.5470,0.6689,-0.4788,-0.1552
2,Left,2,0.0314,-0.0136,0.0333,-0.1947,0.2806,-0.4956,0.7986,0.083,,,,,,,
2,Left,3,0.0000,0.0000,0.0325,0.0551,-0.0655,0.0832,0.9929,0.083,,,,,,,
2,Left,4,0.0000,0.0000,0.0338,-0.1378,0.0711,-0.0847,0.9843,0.083,,,,,,,
2,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
2,Left,6,0.0204,-0.0083,0.0358,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
