FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0023,-0.0054,0.0652,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.1336,0.3261,0.1659,-0.3313,0.5710,-0.5243,-0.5378
0,Left,2,0.0287,-0.0183,0.0356,-0.0527,0.3465,-0.6081,0.7124,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.2705,-0.0450,0.0807,0.9583,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.2653,0.0363,-0.0732,0.9607,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0191,-0.0106,0.0370,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0045,0.0033,0.0590,0.3070,-0.0450,-0.0278,0.9503,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.6302,0.0107,0.0233,0.7760,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.3197,-0.0194,0.0172,0.9472,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0028,-0.0082,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0011,0.0057,0.0608,0.3945,-0.0642,0.0318,0.9161,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.6012,0.0033,0.0129,0.7990,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.3738,0.0158,0.0771,0.9242,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.4419,-0.0847,0.0916,0.8883,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.5693,0.0166,0.0419,0.8209,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.3941,0.0288,0.0228,0.9183,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.4143,-0.0844,-0.0432,0.9052,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.4573,-0.0199,0.0746,0.8860,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.3912,0.0450,-0.0020,0.9192,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0016,-0.0057,0.0656,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.1267,0.3243,0.1762,0.2929,0.5234,-0.5773,0.5542
0,Right,2,-0.0260,-0.0212,0.0369,0.0173,-0.3351,0.6621,0.6701,0.000,,,,,,,
