FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0009,-0.0060,0.0658,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.1667,0.2507,0.0831,-0.5169,0.4466,-0.4342,-0.5873
0,Left,2,0.0232,-0.0235,0.0378,0.1510,0.3863,-0.6970,0.5850,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.2533,-0.0468,0.0810,0.9629,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,-0.0579,0.0650,-0.0835,0.9927,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0163,-0.0132,0.0381,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0073,0.0059,0.0579,0.3566,-0.0285,-0.0326,0.9333,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.2212,-0.0013,0.0263,0.9749,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.0640,-0.0249,0.0167,0.9975,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0001,-0.0095,0.0360,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,0.0016,0.0069,0.0597,0.3386,-0.0726,0.0301,0.9376,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2279,-0.0017,0.0124,0.9736,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.0766,0.0028,0.0510,0.9958,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.3548,-0.1079,0.0885,0.9245,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.2327,0.0049,0.0384,0.9718,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.1327,0.0297,0.0108,0.9906,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.2734,-0.0295,-0.0746,0.9585,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.2556,-0.0311,0.0599,0.9644,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.1172,0.0487,-0.0011,0.9919,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
