FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0028,-0.0050,0.0649,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.1661,0.2054,0.0034,-0.5456,0.7345,-0.3163,-0.2505
0,Left,2,0.0306,-0.0153,0.0341,-0.1399,0.3173,-0.5427,0.7650,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.0765,-0.0636,0.0831,0.9916,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,-0.0667,0.0657,-0.0837,0.9921,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0200,-0.0091,0.0363,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0035,0.0018,0.0597,0.1870,-0.0645,-0.0265,0.9799,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.1807,-0.0024,0.0263,0.9832,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.0838,-0.0246,0.0168,0.9960,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0038,-0.0075,0.0341,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0021,0.0049,0.0615,0.2666,-0.0996,0.0307,0.9582,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.1379,-0.0028,0.0120,0.9904,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.0273,0.0006,0.0463,0.9986,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.2329,-0.1403,0.0788,0.9591,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.1425,0.0018,0.0367,0.9891,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.0735,0.0296,0.0081,0.9968,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.1051,-0.0616,-0.0815,0.9892,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.2125,-0.0332,0.0565,0.9750,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0664,0.0490,-0.0010,0.9966,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0010,-0.0060,0.0658,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.2131,0.2468,0.0645,0.4550,0.4761,-0.4310,0.6168
0,Right,2,-0.0236,-0.0232,0.0377,0.1135,-0.3635,0.6955,0.6093,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.2199,0.0502,-0.0816,0.9708,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,0.0133,-0.0592,0.0820,0.9948,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0165,-0.0130,0.0381,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0070,0.0057,0.0579,0.3737,0.0480,0.0260,0.9259,0.000,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.2817,-0.0004,-0.0262,0.9591,0.000,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.1229,0.0238,-0.0169,0.9920,0.000,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,11,-0.0003,-0.0094,0.0359,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,12,-0.0014,0.0069,0.0598,0.3794,0.0923,-0.0408,0.9197,0.000,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.2684,0.0012,-0.0126,0.9632,0.000,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.0993,-0.0038,-0.0531,0.9936,0.000,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.4012,0.1092,-0.0957,0.9044,0.000,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.2347,-0.0050,-0.0385,0.9713,0.000,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.1491,-0.0297,-0.0116,0.9883,0.000,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9680,0.000,,,,,,,
0,Right,22,0.0000,0.0000,0.0457,0.3420,0.0493,0.0641,0.9362,0.000,,,,,,,
0,Right,23,0.0000,0.0000,0.0307,0.2373,0.0320,-0.0585,0.9691,0.000,,,,,,,
0,Right,24,0.0000,0.0000,0.0203,0.1244,-0.0487,0.0012,0.9910,0.000,,,,,,,
