FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0024,-0.0053,0.0651,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.0012,0.1069,-0.1961,-0.6895,-0.1440,0.3906,0.5927
0,Left,2,0.0292,-0.0176,0.0352,-0.0697,0.3475,-0.5940,0.7222,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.0516,-0.0658,0.0832,0.9930,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,-0.1646,0.0730,-0.0850,0.9800,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0193,-0.0103,0.0368,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0042,0.0029,0.0592,0.0843,-0.0443,-0.0304,0.9950,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.0953,-0.0047,0.0262,0.9951,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,-0.0053,-0.0261,0.0164,0.9995,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0031,-0.0080,0.0346,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0014,0.0055,0.0610,0.1539,-0.0813,0.0172,0.9846,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.0545,-0.0037,0.0116,0.9984,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,-0.0300,-0.0019,0.0407,0.9987,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1161,-0.0908,0.0590,0.9873,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.0838,-0.0002,0.0355,0.9958,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.0367,0.0295,0.0064,0.9989,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.0264,-0.0024,-0.0911,0.9955,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.1486,-0.0362,0.0514,0.9869,0.000,,,,,,,
