FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0028,-0.0050,0.0649,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.2101,0.1188,-0.0253,-0.1747,0.1953,0.8993,0.3501
0,Left,2,0.0307,-0.0152,0.0341,-0.0620,0.4290,-0.5658,0.7014,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.0378,-0.0670,0.0832,0.9936,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,-0.1728,0.0736,-0.0850,0.9785,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0201,-0.0091,0.0362,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0035,0.0018,0.0598,0.0351,-0.0654,-0.0314,0.9967,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.1002,-0.0046,0.0262,0.9946,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.0087,-0.0259,0.0165,0.9995,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0038,-0.0074,0.0341,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0021,0.0049,0.0616,0.1208,-0.0759,0.0142,0.9897,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.0358,-0.0040,0.0115,0.9993,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,-0.0332,-0.0020,0.0403,0.9986,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1323,-0.0726,0.0590,0.9868,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.0480,-0.0014,0.0347,0.9982,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.0268,0.0294,0.0059,0.9992,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.1020,0.0252,-0.0900,0.9904,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.1010,-0.0383,0.0474,0.9930,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0083,0.0492,-0.0008,0.9988,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0024,-0.0053,0.0651,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.2171,0.1376,-0.0283,-0.1729,-0.1718,-0.8961,0.3710
0,Right,2,-0.0292,-0.0176,0.0352,-0.0477,-0.3749,0.5988,0.7061,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.0781,0.0635,-0.0831,0.9914,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,-0.0607,-0.0652,0.0835,0.9925,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0193,-0.0103,0.0368,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0042,0.0029,0.0592,0.0121,0.0762,0.0326,0.9965,0.000,,,,,,,
