FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0021,-0.0055,0.0654,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.1951,-0.4561,0.0389,0.1664,-0.2390,-0.8199,0.4928
0,Left,2,0.0278,-0.0194,0.0361,-0.0318,0.3380,-0.6278,0.7005,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.2483,-0.0473,0.0811,0.9641,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.2821,0.0346,-0.0725,0.9560,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0186,-0.0112,0.0372,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0049,0.0039,0.0588,0.4809,-0.0845,-0.0066,0.8727,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.7375,0.0142,0.0213,0.6749,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.4862,-0.0147,0.0168,0.8736,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0024,-0.0085,0.0351,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0007,0.0059,0.0606,0.5971,-0.0836,0.0647,0.7952,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.6710,0.0043,0.0127,0.7413,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.4890,0.0209,0.0859,0.8678,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.6116,-0.0609,0.1032,0.7820,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.6722,0.0203,0.0418,0.7389,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.5270,0.0273,0.0287,0.8489,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.5679,-0.0374,-0.0589,0.8201,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.6910,-0.0036,0.0886,0.7174,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.5537,0.0405,-0.0025,0.8317,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0024,-0.0053,0.0652,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.0462,-0.3094,0.1112,0.1185,0.5466,0.8260,-0.0704
0,Right,2,-0.0290,-0.0180,0.0354,-0.1114,-0.2824,0.5880,0.7497,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.2160,0.0506,-0.0817,0.9717,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,0.0734,-0.0541,0.0804,0.9926,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0192,-0.0105,0.0369,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0044,0.0031,0.0591,0.1746,0.0626,0.0271,0.9823,0.000,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.1118,0.0043,-0.0263,0.9934,0.000,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.0488,0.0252,-0.0167,0.9984,0.000,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,11,-0.0030,-0.0081,0.0347,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,12,0.0013,0.0056,0.0609,0.2186,0.0849,-0.0231,0.9718,0.000,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.0832,0.0034,-0.0117,0.9965,0.000,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,-0.0048,0.0008,-0.0432,0.9991,0.000,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.1816,0.0916,-0.0650,0.9769,0.000,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.0543,0.0012,-0.0348,0.9979,0.000,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.0219,-0.0294,-0.0057,0.9993,0.000,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.000,,,,,,,
0,Right,22,0.0000,0.0000,0.0457,0.0756,-0.0159,0.0899,0.9929,0.000,,,,,,,
0,Right,23,0.0000,0.0000,0.0307,0.1120,0.0378,-0.0484,0.9918,0.000,,,,,,,
0,Right,24,0.0000,0.0000,0.0203,-0.0041,-0.0492,0.0007,0.9988,0.000,,,,,,,
0,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
1,Left,0,0.0021,-0.0055,0.0654,0.0000,0.0000,0.0000,1.0000,0.092,,,,,,,
1,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.092,0.1974,-0.4534,0.0426,0.1625,-0.2388,-0.8214,0.4918
1,Left,2,0.0278,-0.0195,0.0361,-0.0315,0.3363,-0.6288,0.7003,0.092,,,,,,,
1,Left,3,0.0000,0.0000,0.0325,0.2525,-0.0469,0.0811,0.9631,0.092,,,,,,,
1,Left,4,0.0000,0.0000,0.0338,0.3226,0.0305,-0.0705,0.9434,0.092,,,,,,,
1,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.092,,,,,,,
1,Left,6,0.0186,-0.0112,0.0372,0.0000,0.0000,0.0000,1.0000,0.092,,,,,,,
1,Left,7,0.0050,0.0039,0.0587,0.4833,-0.0825,-0.0074,0.8715,0.092,,,,,,,
1,Left,8,0.0000,0.0000,0.0379,0.7415,0.0143,0.0212,0.6705,0.092,,,,,,,
1,Left,9,0.0000,0.0000,0.0243,0.4925,-0.0145,0.0167,0.8700,0.092,,,,,,,
1,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.092,,,,,,,
1,Left,11,0.0024,-0.0085,0.0351,0.0000,0.0000,0.0000,1.0000,0.092,,,,,,,
1,Left,12,-0.0007,0.0059,0.0606,0.6004,-0.0820,0.0640,0.7929,0.092,,,,,,,
