FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Right,0,-0.0019,-0.0056,0.0655,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.0665,-0.5726,0.0893,-0.0006,0.4577,0.8670,0.1970
0,Right,2,-0.0271,-0.0202,0.0364,-0.0136,-0.3339,0.6427,0.6894,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.3186,0.0400,-0.0796,0.9437,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,0.3113,-0.0317,0.0710,0.9471,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0182,-0.0116,0.0374,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0053,0.0043,0.0586,0.4263,0.0571,0.0215,0.9025,0.000,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.7778,-0.0156,-0.0203,0.6280,0.000,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.5280,0.0134,-0.0166,0.8490,0.000,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,11,-0.0020,-0.0087,0.0353,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,12,0.0003,0.0061,0.0604,0.5415,0.0599,-0.0425,0.8375,0.000,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.7228,-0.0051,-0.0124,0.6909,0.000,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.5280,-0.0226,-0.0887,0.8443,0.000,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.5798,0.0510,-0.0918,0.8080,0.000,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.7112,-0.0217,-0.0415,0.7015,0.000,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.5399,-0.0272,-0.0292,0.8408,0.000,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.000,,,,,,,
0,Right,22,0.0000,0.0000,0.0457,0.5505,0.0487,0.0521,0.8318,0.000,,,,,,,
0,Right,23,0.0000,0.0000,0.0307,0.6933,0.0035,-0.0887,0.7152,0.000,,,,,,,
0,Right,24,0.0000,0.0000,0.0203,0.5452,-0.0408,0.0025,0.8373,0.000,,,,,,,
0,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
1,Right,0,-0.0019,-0.0056,0.0655,0.0000,0.0000,0.0000,1.0000,0.016,,,,,,,
1,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.016,-0.0667,-0.5704,0.0901,0.0002,0.4569,0.8677,0.1956
1,Right,2,-0.0270,-0.0203,0.0364,-0.0122,-0.3332,0.6439,0.6886,0.016,,,,,,,
1,Right,3,0.0000,0.0000,0.0325,0.3189,0.0400,-0.0796,0.9436,0.016,,,,,,,
1,Right,4,0.0000,0.0000,0.0338,0.3126,-0.0316,0.0710,0.9467,0.016,,,,,,,
1,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.016,,,,,,,
1,Right,6,-0.0182,-0.0116,0.0374,0.0000,0.0000,0.0000,1.0000,0.016,,,,,,,
1,Right,7,-0.0053,0.0043,0.0586,0.4259,0.0593,0.0206,0.9026,0.016,,,,,,,
1,Right,8,0.0000,0.0000,0.0379,0.7780,-0.0156,-0.0203,0.6277,0.016,,,,,,,
1,Right,9,0.0000,0.0000,0.0243,0.5289,0.0134,-0.0166,0.8484,0.016,,,,,,,
1,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.016,,,,,,,
1,Right,11,-0.0020,-0.0087,0.0353,0.0000,0.0000,0.0000,1.0000,0.016,,,,,,,
1,Right,12,0.0003,0.0061,0.0604,0.5419,0.0606,-0.0429,0.8372,0.016,,,,,,,
1,Right,13,0.0000,0.0000,0.0429,0.7235,-0.0051,-0.0124,0.6902,0.016,,,,,,,
1,Right,14,0.0000,0.0000,0.0275,0.5288,-0.0226,-0.0888,0.8438,0.016,,,,,,,
1,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.016,,,,,,,
1,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.016,,,,,,,
1,Right,17,0.0025,-0.0005,0.0539,0.5802,0.0512,-0.0920,0.8076,0.016,,,,,,,
1,Right,18,0.0000,0.0000,0.0390,0.7118,-0.0217,-0.0415,0.7008,0.016,,,,,,,
1,Right,19,0.0000,0.0000,0.0266,0.5406,-0.0272,-0.0292,0.8403,0.016,,,,,,,
1,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.016,,,,,,,
1,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.016,,,,,,,
1,Right,22,0.0000,0.0000,0.0457,0.5523,0.0470,0.0532,0.8306,0.016,,,,,,,
1,Right,23,0.0000,0.0000,0.0307,0.6937,0.0035,-0.0887,0.7148,0.016,,,,,,,
1,Right,24,0.0000,0.0000,0.0203,0.5466,-0.0408,0.0025,0.8364,0.016,,,,,,,
