FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0031,-0.0047,0.0645,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.1954,0.0019,-0.0771,-0.0826,-0.2769,-0.1768,-0.9409
0,Left,2,0.0319,-0.0126,0.0327,-0.1256,0.4218,-0.5167,0.7344,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1383,-0.0580,0.0827,0.9852,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.1163,0.0504,-0.0791,0.9888,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0206,-0.0077,0.0356,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0029,0.0004,0.0604,0.1534,-0.0405,-0.0300,0.9869,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.2390,-0.0008,0.0263,0.9707,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1258,-0.0238,0.0169,0.9916,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0044,-0.0068,0.0334,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0027,0.0042,0.0622,0.1835,-0.0686,0.0178,0.9805,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2416,-0.0015,0.0125,0.9703,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.0871,0.0032,0.0520,0.9948,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1860,-0.0815,0.0641,0.9771,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.2073,0.0040,0.0380,0.9775,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.1237,0.0297,0.0104,0.9918,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.1649,0.0201,-0.0885,0.9821,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.2038,-0.0336,0.0559,0.9768,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0520,0.0491,-0.0009,0.9974,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0023,-0.0054,0.0652,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.0336,0.2636,0.0341,0.2577,-0.5124,0.2245,0.7878
0,Right,2,-0.0287,-0.0184,0.0356,0.0443,-0.4577,0.6192,0.6364,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,-0.0115,0.0712,-0.0832,0.9939,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,-0.1171,-0.0696,0.0844,0.9871,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0190,-0.0107,0.0370,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0045,0.0033,0.0590,0.2821,0.0724,0.0216,0.9564,0.000,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.4958,-0.0066,-0.0250,0.8680,0.000,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.2248,0.0216,-0.0171,0.9740,0.000,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,11,-0.0028,-0.0082,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,12,0.0011,0.0057,0.0608,0.3710,0.1003,-0.0427,0.9222,0.000,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.3738,-0.0002,-0.0128,0.9274,0.000,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.1981,-0.0081,-0.0622,0.9782,0.000,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
