FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0031,-0.0047,0.0646,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.0753,-0.2445,-0.1488,-0.6694,-0.0276,0.1510,0.7269
0,Left,2,0.0318,-0.0128,0.0329,-0.1737,0.3389,-0.4974,0.7794,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.2168,-0.0505,0.0817,0.9715,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.0421,0.0568,-0.0813,0.9942,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0206,-0.0079,0.0356,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0030,0.0005,0.0604,0.0580,-0.0347,-0.0308,0.9972,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.0636,-0.0055,0.0261,0.9976,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.0347,-0.0254,0.0166,0.9989,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0044,-0.0068,0.0335,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0027,0.0043,0.0622,0.1261,-0.0099,0.0091,0.9919,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.0254,-0.0041,0.0114,0.9996,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,-0.0050,-0.0008,0.0431,0.9991,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.0963,-0.0076,0.0533,0.9939,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.1003,0.0004,0.0359,0.9943,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.0607,0.0295,0.0075,0.9977,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,-0.0467,0.0530,-0.0913,0.9933,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.1729,-0.0351,0.0534,0.9829,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0478,0.0491,-0.0009,0.9976,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0027,-0.0051,0.0650,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.0512,-0.1914,-0.2600,0.2699,0.7277,-0.3095,-0.5494
0,Right,2,-0.0302,-0.0162,0.0345,-0.1216,-0.3202,0.5599,0.7544,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.2618,0.0459,-0.0809,0.9606,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,0.0633,-0.0550,0.0807,0.9932,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0198,-0.0095,0.0365,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0038,0.0022,0.0595,0.0465,0.0265,0.0308,0.9981,0.000,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.1002,0.0046,-0.0262,0.9946,0.000,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.0318,0.0255,-0.0166,0.9990,0.000,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,11,-0.0036,-0.0077,0.0343,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,12,0.0019,0.0051,0.0613,0.0491,0.0613,-0.0090,0.9969,0.000,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.0829,0.0034,-0.0117,0.9965,0.000,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.0047,0.0003,-0.0441,0.9990,0.000,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.0034,0.0647,-0.0509,0.9966,0.000,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.1255,-0.0012,-0.0364,0.9914,0.000,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.0566,-0.0295,-0.0073,0.9979,0.000,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9680,0.000,,,,,,,
0,Right,22,0.0000,0.0000,0.0457,-0.0735,-0.0819,0.0884,0.9900,0.000,,,,,,,
0,Right,23,0.0000,0.0000,0.0307,0.1767,0.0349,-0.0537,0.9822,0.000,,,,,,,
0,Right,24,0.0000,0.0000,0.0203,0.0418,-0.0491,0.0009,0.9979,0.000,,,,,,,
0,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
1,Left,0,0.0030,-0.0047,0.0646,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,0.0723,-0.2443,-0.1530,-0.6754,-0.0081,0.1774,0.7157
1,Left,2,0.0317,-0.0129,0.0329,-0.1647,0.3495,-0.5035,0.7728,0.042,,,,,,,
1,Left,3,0.0000,0.0000,0.0325,0.2183,-0.0503,0.0817,0.9711,0.042,,,,,,,
1,Left,4,0.0000,0.0000,0.0338,0.0415,0.0569,-0.0813,0.9942,0.042,,,,,,,
1,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,6,0.0206,-0.0079,0.0357,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,7,0.0030,0.0006,0.0603,0.0472,-0.0031,-0.0306,0.9984,0.042,,,,,,,
1,Left,8,0.0000,0.0000,0.0379,0.0619,-0.0056,0.0261,0.9977,0.042,,,,,,,
