FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0019,-0.0056,0.0655,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.0838,-0.4184,-0.3290,-0.5580,-0.0181,0.3935,0.7304
0,Left,2,0.0270,-0.0203,0.0365,0.0376,0.3888,-0.6472,0.6547,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1493,-0.0570,0.0826,0.9837,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,-0.0032,0.0606,-0.0824,0.9948,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0182,-0.0116,0.0374,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0053,0.0043,0.0586,0.2625,-0.0520,-0.0268,0.9631,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.5758,0.0090,0.0241,0.8172,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.3382,-0.0189,0.0171,0.9407,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0020,-0.0087,0.0353,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0003,0.0062,0.0604,0.3992,-0.0819,0.0390,0.9124,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.5647,0.0028,0.0129,0.8252,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.3935,0.0167,0.0786,0.9158,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.4332,-0.0915,0.0933,0.8918,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.5706,0.0167,0.0419,0.8200,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.4271,0.0285,0.0242,0.9034,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.3477,-0.0459,-0.0650,0.9342,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.5089,-0.0167,0.0780,0.8571,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.4648,0.0432,-0.0022,0.8844,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0021,-0.0055,0.0654,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.2361,-0.2313,-0.2608,0.3457,0.4279,0.0869,-0.8305
0,Right,2,-0.0278,-0.0194,0.0361,0.0233,-0.4006,0.6336,0.6615,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.1810,0.0540,-0.0822,0.9786,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,0.0485,-0.0563,0.0811,0.9939,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
