FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0029,-0.0049,0.0647,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.3529,-0.2866,-0.0029,-0.1894,-0.5572,-0.8057,-0.0676
0,Left,2,0.0312,-0.0142,0.0336,-0.1537,0.3294,-0.5231,0.7709,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1387,-0.0579,0.0827,0.9852,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.0626,0.0551,-0.0807,0.9932,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0203,-0.0086,0.0360,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0032,0.0012,0.0600,0.0522,-0.0700,-0.0308,0.9957,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.1299,-0.0038,0.0263,0.9912,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.0874,-0.0245,0.0168,0.9957,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0041,-0.0072,0.0338,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0024,0.0046,0.0618,0.1297,-0.0994,0.0168,0.9864,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.1332,-0.0028,0.0120,0.9910,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.0300,0.0007,0.0465,0.9985,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1293,-0.1138,0.0619,0.9831,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.1158,0.0009,0.0362,0.9926,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.0516,0.0295,0.0070,0.9982,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.0615,-0.0096,-0.0891,0.9941,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.1647,-0.0355,0.0527,0.9843,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0116,0.0492,-0.0008,0.9987,0.000,,,,,,,
