FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0030,-0.0047,0.0646,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.344300,-0.299300,0.042100,-0.1721,-0.5982,-0.7764,-0.0989
0,Left,2,0.0317,-0.0129,0.0329,-0.1666,0.3464,-0.5025,0.7744,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1307,-0.0587,0.0828,0.9862,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.0295,0.0579,-0.0816,0.9945,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0206,-0.0079,0.0357,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0030,0.0006,0.0603,0.0643,-0.0312,-0.0308,0.9970,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.0859,-0.0050,0.0262,0.9959,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.0581,-0.0250,0.0167,0.9979,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0044,-0.0069,0.0335,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0026,0.0043,0.0621,0.1261,-0.0851,0.0153,0.9882,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.0579,-0.0037,0.0116,0.9982,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.0018,-0.0005,0.0438,0.9990,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1220,-0.1141,0.0611,0.9841,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.0358,-0.0018,0.0344,0.9988,0.000,,,,,,,
