FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0019,-0.0056,0.0655,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.1535,-0.4981,0.0833,0.1737,-0.3327,-0.8347,0.4030
0,Left,2,0.0271,-0.0202,0.0364,-0.0087,0.3393,-0.6433,0.6863,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.2456,-0.0476,0.0812,0.9648,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.3025,0.0326,-0.0715,0.9499,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0182,-0.0116,0.0374,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0053,0.0043,0.0586,0.4309,-0.0752,-0.0138,0.8992,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.7859,0.0159,0.0200,0.6178,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.5582,-0.0124,0.0164,0.8294,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0020,-0.0087,0.0353,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0003,0.0061,0.0604,0.5779,-0.0792,0.0588,0.8101,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.7259,0.0052,0.0124,0.6877,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.5525,0.0237,0.0904,0.8283,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.6106,-0.0641,0.1053,0.7823,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.7203,0.0221,0.0414,0.6920,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.5625,0.0268,0.0302,0.8258,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.5835,-0.0429,-0.0548,0.8091,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.7198,-0.0013,0.0900,0.6884,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.5665,0.0401,-0.0026,0.8231,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0025,-0.0052,0.0651,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.0444,-0.2977,0.1194,0.0466,0.5409,0.8396,0.0196
0,Right,2,-0.0296,-0.0170,0.0350,-0.1300,-0.2836,0.5686,0.7612,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.2384,0.0483,-0.0813,0.9666,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,0.0737,-0.0541,0.0804,0.9926,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0195,-0.0100,0.0367,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0040,0.0027,0.0593,0.1647,0.0322,0.0309,0.9853,0.000,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.1259,0.0039,-0.0263,0.9917,0.000,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.0566,0.0251,-0.0167,0.9979,0.000,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,11,-0.0033,-0.0079,0.0345,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,12,0.0016,0.0053,0.0611,0.2030,0.0519,-0.0164,0.9777,0.000,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.1392,0.0027,-0.0120,0.9902,0.000,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.0192,-0.0003,-0.0455,0.9988,0.000,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.1864,0.0625,-0.0615,0.9786,0.000,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.1145,-0.0009,-0.0362,0.9928,0.000,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.0440,-0.0295,-0.0067,0.9986,0.000,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.000,,,,,,,
0,Right,22,0.0000,0.0000,0.0457,0.1246,-0.0423,0.0915,0.9871,0.000,,,,,,,
0,Right,23,0.0000,0.0000,0.0307,0.1477,0.0362,-0.0513,0.9870,0.000,,,,,,,
0,Right,24,0.0000,0.0000,0.0203,0.0009,-0.0492,0.0007,0.9988,0.000,,,,,,,
0,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
1,Left,0,0.0018,-0.0056,0.0655,0.0000,0.0000,0.0000,1.0000,0.089,,,,,,,
1,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.089,0.1541,-0.4962,0.0865,0.1544,-0.3382,-0.8335,0.4087
1,Left,2,0.0269,-0.0204,0.0365,-0.0050,0.3386,-0.6461,0.6840,0.089,,,,,,,
1,Left,3,0.0000,0.0000,0.0325,0.2482,-0.0473,0.0811,0.9642,0.089,,,,,,,
1,Left,4,0.0000,0.0000,0.0338,0.3030,0.0325,-0.0714,0.9498,0.089,,,,,,,
1,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.089,,,,,,,
1,Left,6,0.0182,-0.0117,0.0375,0.0000,0.0000,0.0000,1.0000,0.089,,,,,,,
1,Left,7,0.0054,0.0043,0.0585,0.4295,-0.0772,-0.0131,0.8996,0.089,,,,,,,
1,Left,8,0.0000,0.0000,0.0379,0.7871,0.0159,0.0200,0.6163,0.089,,,,,,,
1,Left,9,0.0000,0.0000,0.0243,0.5645,-0.0122,0.0163,0.8252,0.089,,,,,,,
1,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.089,,,,,,,
1,Left,11,0.0020,-0.0087,0.0353,0.0000,0.0000,0.0000,1.0000,0.089,,,,,,,
1,Left,12,-0.0002,0.0062,0.0604,0.5774,-0.0785,0.0583,0.8106,0.089,,,,,,,
1,Left,13,0.0000,0.0000,0.0429,0.7268,0.0052,0.0124,0.6868,0.089,,,,,,,
1,Left,14,0.0000,0.0000,0.0275,0.5552,0.0238,0.0906,0.8264,0.089,,,,,,,
1,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.089,,,,,,,
1,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.089,,,,,,,
1,Left,17,-0.0025,-0.0005,0.0539,0.6118,-0.0612,0.1035,0.7818,0.089,,,,,,,
1,Left,18,0.0000,0.0000,0.0390,0.7216,0.0221,0.0414,0.6907,0.089,,,,,,,
1,Left,19,0.0000,0.0000,0.0266,0.5642,0.0268,0.0303,0.8246,0.089,,,,,,,
1,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.089,,,,,,,
1,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.089,,,,,,,
1,Left,22,0.0000,0.0000,0.0457,0.5846,-0.0354,-0.0600,0.8083,0.089,,,,,,,
1,Left,23,0.0000,0.0000,0.0307,0.7202,-0.0012,0.0900,0.6879,0.089,,,,,,,
1,Left,24,0.0000,0.0000,0.0203,0.5724,0.0399,-0.0026,0.8190,0.089,,,,,,,
1,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.089,,,,,,,
1,Right,0,-0.0025,-0.0052,0.0651,0.0000,0.0000,0.0000,1.0000,0.089,,,,,,,
1,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.089,-0.0444,-0.2994,0.1186,0.0466,0.5402,0.8400,0.0192
