FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0031,-0.0046,0.0645,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.1864,0.0026,-0.1154,-0.0596,-0.1862,-0.1369,-0.9711
0,Left,2,0.0319,-0.0125,0.0327,-0.1236,0.4279,-0.5165,0.7313,0.042,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1443,-0.0575,0.0826,0.9844,0.042,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.0745,0.0540,-0.0804,0.9925,0.042,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,6,0.0207,-0.0077,0.0355,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,7,0.0029,0.0004,0.0605,0.1715,0.0415,-0.0394,0.9835,0.042,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.1258,-0.0039,0.0263,0.9917,0.042,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.0415,-0.0253,0.0166,0.9987,0.042,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,11,0.0044,-0.0067,0.0334,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,12,-0.0027,0.0042,0.0623,0.2375,-0.0318,0.0141,0.9708,0.042,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.1702,-0.0024,0.0122,0.9853,0.042,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.0452,0.0014,0.0480,0.9978,0.042,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.2315,-0.0715,0.0662,0.9679,0.042,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.1573,0.0023,0.0370,0.9869,0.042,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.0909,0.0296,0.0089,0.9954,0.042,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.042,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.1813,-0.0155,-0.0824,0.9798,0.042,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.1648,-0.0354,0.0527,0.9843,0.042,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0264,0.0491,-0.0008,0.9984,0.042,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,0,-0.0016,-0.0058,0.0656,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,0.0788,0.2745,0.0183,0.2523,-0.6349,0.1360,0.7175
0,Right,2,-0.0259,-0.0214,0.0370,0.0781,-0.3934,0.6652,0.6298,0.042,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,-0.0004,0.0702,-0.0832,0.9941,0.042,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,-0.1241,-0.0701,0.0845,0.9862,0.042,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,6,-0.0176,-0.0122,0.0377,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,7,-0.0059,0.0048,0.0583,0.2065,-0.0160,0.0383,0.9776,0.042,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.1631,0.0029,-0.0263,0.9862,0.042,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.0708,0.0248,-0.0168,0.9970,0.042,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,11,-0.0014,-0.0090,0.0355,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,12,-0.0003,0.0064,0.0601,0.2304,0.0325,-0.0140,0.9725,0.042,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.1213,0.0030,-0.0119,0.9925,0.042,,,,,,,
