FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0032,-0.0045,0.0643,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.1979,-0.0070,-0.0932,-0.1205,-0.2571,-0.1396,-0.9486
0,Left,2,0.0323,-0.0110,0.0319,-0.1574,0.4212,-0.4873,0.7485,0.042,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1345,-0.0584,0.0827,0.9857,0.042,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.1207,0.0499,-0.0789,0.9883,0.042,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,6,0.0209,-0.0069,0.0352,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,7,0.0027,-0.0004,0.0608,0.1076,0.0112,-0.0331,0.9936,0.042,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.2517,-0.0005,0.0263,0.9675,0.042,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1420,-0.0234,0.0170,0.9894,0.042,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,11,0.0047,-0.0064,0.0330,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,12,-0.0029,0.0038,0.0627,0.1597,-0.0365,0.0124,0.9864,0.042,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2519,-0.0014,0.0125,0.9677,0.042,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.1059,0.0041,0.0538,0.9929,0.042,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1279,-0.0703,0.0585,0.9876,0.042,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.2360,0.0050,0.0385,0.9710,0.042,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.1371,0.0297,0.0110,0.9901,0.042,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.042,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.0752,0.0138,-0.0898,0.9930,0.042,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.2298,-0.0323,0.0579,0.9710,0.042,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0738,0.0490,-0.0010,0.9961,0.042,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,0,-0.0018,-0.0057,0.0655,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.0211,0.2702,0.0250,0.2698,-0.5693,0.3038,0.7147
0,Right,2,-0.0266,-0.0207,0.0366,0.1049,-0.4454,0.6515,0.6051,0.042,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,-0.0230,0.0721,-0.0831,0.9937,0.042,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,-0.0719,-0.0661,0.0837,0.9917,0.042,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,6,-0.0180,-0.0118,0.0375,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,7,-0.0055,0.0045,0.0585,0.3866,0.0574,0.0225,0.9202,0.042,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.4864,-0.0063,-0.0251,0.8733,0.042,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.2266,0.0216,-0.0171,0.9736,0.042,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,11,-0.0018,-0.0088,0.0354,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,12,0.0001,0.0062,0.0603,0.3341,0.0715,-0.0294,0.9394,0.042,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.2661,0.0012,-0.0125,0.9639,0.042,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.0825,-0.0031,-0.0516,0.9953,0.042,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
