FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0026,-0.0052,0.0650,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.0901,0.1229,-0.0426,-0.0859,0.1175,-0.7368,-0.6603
0,Left,2,0.0299,-0.0166,0.0348,-0.1503,0.2671,-0.5549,0.7734,0.042,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.0552,-0.0655,0.0832,0.9928,0.042,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,-0.0459,0.0640,-0.0833,0.9934,0.042,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,6,0.0197,-0.0098,0.0366,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,7,0.0039,0.0025,0.0594,0.1295,-0.0161,-0.0320,0.9909,0.042,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.2483,-0.0006,0.0263,0.9683,0.042,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1068,-0.0241,0.0169,0.9938,0.042,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,11,0.0035,-0.0078,0.0344,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,12,-0.0017,0.0052,0.0612,0.1519,-0.0679,0.0156,0.9859,0.042,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2276,-0.0017,0.0124,0.9737,0.042,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.0629,0.0022,0.0497,0.9968,0.042,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
