FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0031,-0.0045,0.0644,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.1963,0.0112,-0.0921,-0.1844,-0.2388,-0.1304,-0.9444
0,Left,2,0.0321,-0.0117,0.0323,-0.1663,0.3845,-0.4897,0.7646,0.042,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1065,-0.0609,0.0830,0.9890,0.042,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.0784,0.0537,-0.0802,0.9922,0.042,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,6,0.0208,-0.0073,0.0353,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,7,0.0028,0.0000,0.0607,0.1109,-0.0103,-0.0320,0.9933,0.042,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.2491,-0.0005,0.0263,0.9681,0.042,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1549,-0.0232,0.0170,0.9875,0.042,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,11,0.0046,-0.0065,0.0332,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,12,-0.0028,0.0040,0.0625,0.1426,-0.0533,0.0135,0.9883,0.042,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2354,-0.0016,0.0124,0.9718,0.042,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.0966,0.0037,0.0529,0.9939,0.042,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1272,-0.0699,0.0584,0.9877,0.042,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.2003,0.0038,0.0379,0.9790,0.042,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.1141,0.0296,0.0100,0.9930,0.042,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.042,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.0977,0.0388,-0.0911,0.9903,0.042,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.1753,-0.0349,0.0536,0.9824,0.042,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0422,0.0491,-0.0009,0.9979,0.042,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,0,-0.0024,-0.0053,0.0652,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.0306,0.2672,0.0285,0.3139,-0.5598,0.2584,0.7220
0,Right,2,-0.0291,-0.0178,0.0353,0.0352,-0.4673,0.6106,0.6384,0.042,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,-0.0359,0.0732,-0.0831,0.9932,0.042,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,-0.1073,-0.0688,0.0843,0.9883,0.042,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,6,-0.0193,-0.0104,0.0369,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,7,-0.0043,0.0030,0.0591,0.2396,0.0691,0.0239,0.9681,0.042,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.3026,-0.0010,-0.0262,0.9528,0.042,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.1455,0.0234,-0.0170,0.9889,0.042,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,11,-0.0031,-0.0081,0.0347,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,12,0.0013,0.0055,0.0610,0.3415,0.0973,-0.0382,0.9341,0.042,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.2710,0.0011,-0.0126,0.9625,0.042,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.1002,-0.0038,-0.0532,0.9935,0.042,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.4337,0.1208,-0.1058,0.8866,0.042,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.1935,-0.0036,-0.0377,0.9804,0.042,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.1826,-0.0297,-0.0131,0.9827,0.042,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
