FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0026,-0.0051,0.0650,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.0864,0.1239,-0.0401,-0.0278,0.1077,-0.7132,-0.6920
0,Left,2,0.0300,-0.0165,0.0347,-0.1555,0.2621,-0.5515,0.7765,0.042,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.0755,-0.0637,0.0831,0.9916,0.042,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,-0.0242,0.0623,-0.0828,0.9943,0.042,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,6,0.0197,-0.0097,0.0366,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,7,0.0039,0.0024,0.0594,0.1402,-0.0395,-0.0302,0.9889,0.042,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.3100,0.0012,0.0262,0.9504,0.042,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1417,-0.0234,0.0170,0.9895,0.042,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,11,0.0035,-0.0078,0.0344,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,12,-0.0018,0.0052,0.0613,0.1635,-0.0775,0.0175,0.9833,0.042,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2839,-0.0010,0.0126,0.9588,0.042,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.0975,0.0037,0.0530,0.9938,0.042,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1845,-0.1040,0.0669,0.9750,0.042,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.2285,0.0048,0.0384,0.9728,0.042,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.1128,0.0296,0.0099,0.9931,0.042,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.042,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.1749,-0.0221,-0.0816,0.9810,0.042,,,,,,,
