FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0015,-0.0058,0.0656,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.5969,0.0997,0.0550,-0.6823,0.3601,-0.1629,-0.6150
0,Left,2,0.0256,-0.0216,0.0370,-0.0080,0.2976,-0.6655,0.6844,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.2863,-0.0434,0.0803,0.9538,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.1515,0.0471,-0.0779,0.9843,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0175,-0.0122,0.0377,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0060,0.0049,0.0583,0.4665,-0.0821,-0.0087,0.8807,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.7195,0.0136,0.0217,0.6940,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.4721,-0.0152,0.0168,0.8813,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0013,-0.0090,0.0356,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,0.0004,0.0065,0.0601,0.5585,-0.0781,0.0554,0.8240,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.6691,0.0043,0.0127,0.7430,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0276,0.5011,0.0214,0.0868,0.8608,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.5854,-0.0773,0.1098,0.7995,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.6707,0.0203,0.0418,0.7403,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.5191,0.0274,0.0283,0.8538,0.000,,,,,,,
