FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0028,-0.0049,0.0648,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.2951,0.2576,0.0399,-0.3758,0.6559,-0.3732,-0.5379
0,Left,2,0.0309,-0.0148,0.0339,-0.1513,0.3162,-0.5312,0.7714,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.0612,-0.0650,0.0832,0.9925,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.0651,0.0548,-0.0806,0.9931,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0202,-0.0089,0.0361,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0034,0.0015,0.0599,0.4193,-0.0678,-0.0174,0.9051,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.7014,0.0130,0.0220,0.7124,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.3616,-0.0183,0.0171,0.9320,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0040,-0.0073,0.0340,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0022,0.0048,0.0617,0.5356,-0.0687,0.0470,0.8403,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.6528,0.0040,0.0127,0.7574,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.4000,0.0170,0.0791,0.9129,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.5322,-0.0661,0.0945,0.8387,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.6471,0.0194,0.0419,0.7610,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.4571,0.0282,0.0256,0.8886,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.4440,-0.0385,-0.0627,0.8930,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.5568,-0.0135,0.0810,0.8266,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.5370,0.0411,-0.0025,0.8426,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0028,-0.0050,0.0649,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.0753,-0.0625,0.0661,0.4969,-0.3196,-0.1868,0.7849
0,Right,2,-0.0306,-0.0153,0.0341,-0.1733,-0.2682,0.5276,0.7872,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.2264,0.0495,-0.0815,0.9694,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,0.0305,-0.0578,0.0816,0.9945,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0200,-0.0091,0.0363,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0035,0.0018,0.0597,0.0624,0.0484,0.0307,0.9964,0.000,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.0698,0.0054,-0.0261,0.9972,0.000,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.0043,0.0260,-0.0165,0.9995,0.000,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,11,-0.0038,-0.0075,0.0341,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,12,0.0021,0.0049,0.0615,0.1401,0.1161,-0.0195,0.9831,0.000,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.0745,0.0035,-0.0117,0.9971,0.000,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,-0.0330,0.0020,-0.0404,0.9986,0.000,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.0978,0.1204,-0.0586,0.9862,0.000,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.0720,0.0006,-0.0352,0.9968,0.000,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.0103,-0.0294,-0.0051,0.9995,0.000,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9680,0.000,,,,,,,
0,Right,22,0.0000,0.0000,0.0457,-0.0284,0.0297,0.0949,0.9946,0.000,,,,,,,
0,Right,23,0.0000,0.0000,0.0307,0.0990,0.0384,-0.0473,0.9932,0.000,,,,,,,
0,Right,24,0.0000,0.0000,0.0203,-0.0141,-0.0492,0.0007,0.9987,0.000,,,,,,,
0,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
1,Left,0,0.0029,-0.0049,0.0648,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.2950,0.2576,0.0401,-0.3787,0.6559,-0.3678,-0.5395
1,Left,2,0.0310,-0.0146,0.0338,-0.1509,0.3213,-0.5294,0.7706,0.042,,,,,,,
1,Left,3,0.0000,0.0000,0.0325,0.0613,-0.0650,0.0832,0.9925,0.042,,,,,,,
1,Left,4,0.0000,0.0000,0.0338,0.0660,0.0548,-0.0806,0.9931,0.042,,,,,,,
1,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,6,0.0202,-0.0088,0.0361,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,7,0.0033,0.0015,0.0599,0.4200,-0.0675,-0.0175,0.9048,0.042,,,,,,,
1,Left,8,0.0000,0.0000,0.0379,0.7021,0.0130,0.0220,0.7116,0.042,,,,,,,
1,Left,9,0.0000,0.0000,0.0243,0.3631,-0.0183,0.0171,0.9314,0.042,,,,,,,
1,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,11,0.0040,-0.0073,0.0339,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,12,-0.0023,0.0047,0.0617,0.5350,-0.0684,0.0468,0.8408,0.042,,,,,,,
1,Left,13,0.0000,0.0000,0.0429,0.6540,0.0041,0.0127,0.7564,0.042,,,,,,,
1,Left,14,0.0000,0.0000,0.0275,0.4040,0.0171,0.0795,0.9112,0.042,,,,,,,
1,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,17,-0.0025,-0.0005,0.0539,0.5313,-0.0660,0.0944,0.8393,0.042,,,,,,,
1,Left,18,0.0000,0.0000,0.0390,0.6513,0.0196,0.0419,0.7574,0.042,,,,,,,
1,Left,19,0.0000,0.0000,0.0266,0.4616,0.0281,0.0258,0.8863,0.042,,,,,,,
1,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.042,,,,,,,
1,Left,22,0.0000,0.0000,0.0457,0.4426,-0.0387,-0.0627,0.8937,0.042,,,,,,,
1,Left,23,0.0000,0.0000,0.0307,0.5588,-0.0134,0.0811,0.8252,0.042,,,,,,,
1,Left,24,0.0000,0.0000,0.0203,0.5409,0.0410,-0.0025,0.8401,0.042,,,,,,,
1,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,0,-0.0027,-0.0051,0.0649,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.0757,-0.0618,0.0658,0.5070,-0.3018,-0.1811,0.7868
1,Right,2,-0.0304,-0.0158,0.0343,-0.1667,-0.2663,0.5364,0.7833,0.042,,,,,,,
1,Right,3,0.0000,0.0000,0.0325,0.2281,0.0493,-0.0815,0.9690,0.042,,,,,,,
1,Right,4,0.0000,0.0000,0.0338,0.0320,-0.0577,0.0815,0.9945,0.042,,,,,,,
1,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,6,-0.0199,-0.0093,0.0364,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,7,-0.0036,0.0020,0.0596,0.0621,0.0529,0.0306,0.9962,0.042,,,,,,,
1,Right,8,0.0000,0.0000,0.0379,0.0717,0.0053,-0.0261,0.9971,0.042,,,,,,,
1,Right,9,0.0000,0.0000,0.0243,0.0052,0.0259,-0.0165,0.9995,0.042,,,,,,,
1,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,11,-0.0037,-0.0076,0.0342,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,12,0.0020,0.0050,0.0614,0.1324,0.1220,-0.0191,0.9835,0.042,,,,,,,
1,Right,13,0.0000,0.0000,0.0429,0.0774,0.0035,-0.0117,0.9969,0.042,,,,,,,
1,Right,14,0.0000,0.0000,0.0275,-0.0295,0.0018,-0.0407,0.9987,0.042,,,,,,,
1,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,17,0.0025,-0.0005,0.0539,0.0915,0.1278,-0.0582,0.9859,0.042,,,,,,,
1,Right,18,0.0000,0.0000,0.0390,0.0759,0.0004,-0.0353,0.9965,0.042,,,,,,,
1,Right,19,0.0000,0.0000,0.0266,0.0116,-0.0294,-0.0052,0.9995,0.042,,,,,,,
1,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9680,0.042,,,,,,,
1,Right,22,0.0000,0.0000,0.0457,-0.0401,0.0286,0.0958,0.9942,0.042,,,,,,,
1,Right,23,0.0000,0.0000,0.0307,0.0988,0.0384,-0.0473,0.9932,0.042,,,,,,,
1,Right,24,0.0000,0.0000,0.0203,-0.0144,-0.0492,0.0007,0.9987,0.042,,,,,,,
1,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
2,Left,0,0.0029,-0.0049,0.0648,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
2,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.083,-0.2951,0.2576,0.0401,-0.3840,0.6548,-0.3626,-0.5406
2,Left,2,0.0311,-0.0145,0.0337,-0.1533,0.3226,-0.5263,0.7717,0.083,,,,,,,
2,Left,3,0.0000,0.0000,0.0325,0.0617,-0.0649,0.0832,0.9925,0.083,,,,,,,
2,Left,4,0.0000,0.0000,0.0338,0.0673,0.0546,-0.0806,0.9930,0.083,,,,,,,
2,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
2,Left,6,0.0202,-0.0087,0.0360,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
2,Left,7,0.0033,0.0014,0.0599,0.4207,-0.0679,-0.0173,0.9045,0.083,,,,,,,
2,Left,8,0.0000,0.0000,0.0379,0.7031,0.0131,0.0220,0.7106,0.083,,,,,,,
2,Left,9,0.0000,0.0000,0.0243,0.3656,-0.0182,0.0171,0.9304,0.083,,,,,,,
2,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
2,Left,11,0.0040,-0.0072,0.0339,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
