FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0031,-0.0046,0.0645,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.1980,-0.0120,-0.0888,-0.1250,-0.2777,-0.1881,-0.9337
0,Left,2,0.0320,-0.0120,0.0324,-0.1497,0.4018,-0.5008,0.7519,0.042,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.0987,-0.0616,0.0830,0.9897,0.042,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.1160,0.0504,-0.0791,0.9888,0.042,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,6,0.0207,-0.0075,0.0354,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,7,0.0028,0.0001,0.0606,0.0901,-0.0300,-0.0309,0.9950,0.042,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.2167,-0.0014,0.0263,0.9759,0.042,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1292,-0.0237,0.0169,0.9912,0.042,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,11,0.0045,-0.0066,0.0333,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,12,-0.0028,0.0041,0.0624,0.1526,-0.0555,0.0143,0.9866,0.042,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2258,-0.0017,0.0124,0.9741,0.042,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.1041,0.0040,0.0536,0.9931,0.042,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1256,-0.0754,0.0587,0.9875,0.042,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.2237,0.0046,0.0383,0.9739,0.042,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.1451,0.0297,0.0114,0.9889,0.042,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.042,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.1175,0.0280,-0.0901,0.9886,0.042,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.2331,-0.0322,0.0582,0.9702,0.042,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0944,0.0489,-0.0011,0.9943,0.042,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,0,-0.0024,-0.0053,0.0652,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.0231,0.2616,0.0348,0.3176,-0.5271,0.2752,0.7386
0,Right,2,-0.0291,-0.0178,0.0353,0.0374,-0.4686,0.6112,0.6368,0.042,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,-0.0049,0.0706,-0.0832,0.9940,0.042,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,-0.1206,-0.0698,0.0845,0.9866,0.042,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,6,-0.0193,-0.0104,0.0369,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,7,-0.0043,0.0031,0.0591,0.3727,0.1019,0.0074,0.9223,0.042,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.3924,-0.0035,-0.0258,0.9194,0.042,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.1691,0.0229,-0.0170,0.9852,0.042,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,11,-0.0030,-0.0081,0.0347,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,12,0.0013,0.0055,0.0609,0.4018,0.1030,-0.0475,0.9087,0.042,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.2639,0.0012,-0.0125,0.9645,0.042,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.0984,-0.0037,-0.0531,0.9937,0.042,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.4536,0.1142,-0.1064,0.8774,0.042,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.2090,-0.0041,-0.0380,0.9772,0.042,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.1892,-0.0297,-0.0134,0.9814,0.042,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9680,0.042,,,,,,,
0,Right,22,0.0000,0.0000,0.0457,0.5470,0.0587,0.0459,0.8338,0.042,,,,,,,
0,Right,23,0.0000,0.0000,0.0307,0.1664,0.0354,-0.0528,0.9840,0.042,,,,,,,
0,Right,24,0.0000,0.0000,0.0203,0.1156,-0.0488,0.0011,0.9921,0.042,,,,,,,
0,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,0,0.0031,-0.0046,0.0645,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.083,-0.1979,-0.0121,-0.0886,-0.1246,-0.2776,-0.1877,-0.9339
1,Left,2,0.0320,-0.0120,0.0324,-0.1498,0.4018,-0.5008,0.7519,0.083,,,,,,,
1,Left,3,0.0000,0.0000,0.0325,0.0987,-0.0616,0.0830,0.9897,0.083,,,,,,,
1,Left,4,0.0000,0.0000,0.0338,0.1227,0.0498,-0.0789,0.9881,0.083,,,,,,,
1,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Left,6,0.0207,-0.0075,0.0354,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Left,7,0.0028,0.0001,0.0606,0.0895,-0.0300,-0.0309,0.9951,0.083,,,,,,,
1,Left,8,0.0000,0.0000,0.0379,0.2173,-0.0014,0.0263,0.9757,0.083,,,,,,,
1,Left,9,0.0000,0.0000,0.0243,0.1301,-0.0237,0.0169,0.9911,0.083,,,,,,,
