FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0031,-0.0046,0.0644,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.2011,-0.0090,-0.0853,-0.1164,-0.2642,-0.1509,-0.9454
0,Left,2,0.0321,-0.0119,0.0324,-0.1387,0.4201,-0.5053,0.7409,0.042,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1403,-0.0578,0.0827,0.9850,0.042,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.0477,0.0563,-0.0811,0.9940,0.042,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,6,0.0207,-0.0074,0.0354,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,7,0.0028,0.0001,0.0606,0.0854,-0.0225,-0.0311,0.9956,0.042,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.2020,-0.0018,0.0263,0.9790,0.042,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.0961,-0.0243,0.0168,0.9949,0.042,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,11,0.0045,-0.0066,0.0332,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,12,-0.0028,0.0041,0.0624,0.1445,-0.0627,0.0146,0.9874,0.042,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.1981,-0.0020,0.0123,0.9801,0.042,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.0543,0.0018,0.0489,0.9973,0.042,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1385,-0.0806,0.0601,0.9852,0.042,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.1671,0.0027,0.0372,0.9852,0.042,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.0872,0.0296,0.0087,0.9957,0.042,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.042,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.0766,0.0125,-0.0897,0.9929,0.042,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.1718,-0.0351,0.0533,0.9831,0.042,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0244,0.0491,-0.0008,0.9985,0.042,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,0,-0.0023,-0.0054,0.0652,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.0474,0.2665,0.0215,0.3611,-0.5096,0.3286,0.7085
0,Right,2,-0.0287,-0.0183,0.0356,-0.0022,-0.4074,0.6154,0.6748,0.042,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.0148,0.0690,-0.0832,0.9940,0.042,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,-0.0705,-0.0660,0.0837,0.9918,0.042,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,6,-0.0191,-0.0106,0.0370,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,7,-0.0045,0.0033,0.0590,0.2089,0.0614,0.0263,0.9757,0.042,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.2121,0.0016,-0.0263,0.9769,0.042,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.0873,0.0245,-0.0168,0.9957,0.042,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,11,-0.0029,-0.0082,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,12,0.0011,0.0057,0.0608,0.3039,0.1012,-0.0351,0.9467,0.042,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.2468,0.0014,-0.0125,0.9690,0.042,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.1016,-0.0039,-0.0534,0.9934,0.042,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.3715,0.1220,-0.0956,0.9154,0.042,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.2044,-0.0039,-0.0379,0.9781,0.042,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.1584,-0.0297,-0.0120,0.9869,0.042,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9680,0.042,,,,,,,
0,Right,22,0.0000,0.0000,0.0457,0.4296,0.0667,0.0501,0.8992,0.042,,,,,,,
0,Right,23,0.0000,0.0000,0.0307,0.1917,0.0342,-0.0549,0.9793,0.042,,,,,,,
0,Right,24,0.0000,0.0000,0.0203,0.0723,-0.0490,0.0010,0.9962,0.042,,,,,,,
0,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,0,0.0031,-0.0046,0.0644,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.083,-0.2009,-0.0089,-0.0857,-0.1151,-0.2645,-0.1517,-0.9454
1,Left,2,0.0321,-0.0119,0.0324,-0.1395,0.4203,-0.5046,0.7411,0.083,,,,,,,
1,Left,3,0.0000,0.0000,0.0325,0.1404,-0.0578,0.0827,0.9849,0.083,,,,,,,
1,Left,4,0.0000,0.0000,0.0338,0.0469,0.0564,-0.0811,0.9940,0.083,,,,,,,
1,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Left,6,0.0207,-0.0074,0.0354,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Left,7,0.0028,0.0001,0.0606,0.0897,-0.0249,-0.0311,0.9952,0.083,,,,,,,
1,Left,8,0.0000,0.0000,0.0379,0.1981,-0.0019,0.0264,0.9798,0.083,,,,,,,
1,Left,9,0.0000,0.0000,0.0243,0.0949,-0.0244,0.0168,0.9950,0.083,,,,,,,
1,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Left,11,0.0045,-0.0066,0.0332,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Left,12,-0.0028,0.0041,0.0624,0.1453,-0.0647,0.0148,0.9872,0.083,,,,,,,
1,Left,13,0.0000,0.0000,0.0429,0.1962,-0.0021,0.0123,0.9805,0.083,,,,,,,
1,Left,14,0.0000,0.0000,0.0275,0.0525,0.0017,0.0487,0.9974,0.083,,,,,,,
1,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Left,17,-0.0025,-0.0005,0.0539,0.1400,-0.0815,0.0603,0.9850,0.083,,,,,,,
1,Left,18,0.0000,0.0000,0.0390,0.1649,0.0026,0.0372,0.9856,0.083,,,,,,,
1,Left,19,0.0000,0.0000,0.0266,0.0858,0.0296,0.0087,0.9958,0.083,,,,,,,
1,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.083,,,,,,,
1,Left,22,0.0000,0.0000,0.0457,0.0783,0.0132,-0.0897,0.9928,0.083,,,,,,,
1,Left,23,0.0000,0.0000,0.0307,0.1702,-0.0352,0.0532,0.9833,0.083,,,,,,,
1,Left,24,0.0000,0.0000,0.0203,0.0232,0.0491,-0.0008,0.9985,0.083,,,,,,,
1,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Right,0,-0.0023,-0.0054,0.0652,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.083,-0.0471,0.2665,0.0213,0.3608,-0.5135,0.3284,0.7059
1,Right,2,-0.0287,-0.0183,0.0356,-0.0017,-0.4080,0.6154,0.6744,0.083,,,,,,,
1,Right,3,0.0000,0.0000,0.0325,0.0099,0.0694,-0.0832,0.9941,0.083,,,,,,,
1,Right,4,0.0000,0.0000,0.0338,-0.0713,-0.0660,0.0837,0.9917,0.083,,,,,,,
1,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Right,6,-0.0191,-0.0106,0.0370,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Right,7,-0.0045,0.0033,0.0590,0.2089,0.0596,0.0266,0.9758,0.083,,,,,,,
1,Right,8,0.0000,0.0000,0.0379,0.2110,0.0016,-0.0263,0.9771,0.083,,,,,,,
1,Right,9,0.0000,0.0000,0.0243,0.0866,0.0245,-0.0168,0.9958,0.083,,,,,,,
1,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Right,11,-0.0029,-0.0082,0.0348,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Right,12,0.0011,0.0057,0.0608,0.3027,0.1009,-0.0349,0.9471,0.083,,,,,,,
1,Right,13,0.0000,0.0000,0.0429,0.2456,0.0015,-0.0125,0.9693,0.083,,,,,,,
1,Right,14,0.0000,0.0000,0.0275,0.1017,-0.0039,-0.0534,0.9934,0.083,,,,,,,
1,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Right,17,0.0025,-0.0005,0.0539,0.3699,0.1222,-0.0954,0.9161,0.083,,,,,,,
1,Right,18,0.0000,0.0000,0.0390,0.2031,-0.0039,-0.0379,0.9784,0.083,,,,,,,
1,Right,19,0.0000,0.0000,0.0266,0.1586,-0.0297,-0.0120,0.9868,0.083,,,,,,,
1,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
1,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9680,0.083,,,,,,,
1,Right,22,0.0000,0.0000,0.0457,0.4282,0.0667,0.0502,0.8998,0.083,,,,,,,
1,Right,23,0.0000,0.0000,0.0307,0.1902,0.0342,-0.0548,0.9796,0.083,,,,,,,
1,Right,24,0.0000,0.0000,0.0203,0.0725,-0.0490,0.0010,0.9962,0.083,,,,,,,
1,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.083,,,,,,,
2,Left,0,0.0031,-0.0046,0.0644,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.125,-0.2007,-0.0089,-0.0860,-0.1112,-0.2659,-0.1538,-0.9451
2,Left,2,0.0321,-0.0118,0.0324,-0.1406,0.4206,-0.5035,0.7415,0.125,,,,,,,
2,Left,3,0.0000,0.0000,0.0325,0.1406,-0.0578,0.0827,0.9849,0.125,,,,,,,
2,Left,4,0.0000,0.0000,0.0338,0.0462,0.0564,-0.0812,0.9940,0.125,,,,,,,
2,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Left,6,0.0208,-0.0074,0.0354,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Left,7,0.0028,0.0001,0.0606,0.0936,-0.0270,-0.0310,0.9948,0.125,,,,,,,
2,Left,8,0.0000,0.0000,0.0379,0.1961,-0.0020,0.0264,0.9802,0.125,,,,,,,
2,Left,9,0.0000,0.0000,0.0243,0.0940,-0.0244,0.0168,0.9951,0.125,,,,,,,
2,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Left,11,0.0045,-0.0066,0.0332,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Left,12,-0.0028,0.0040,0.0624,0.1461,-0.0664,0.0150,0.9869,0.125,,,,,,,
2,Left,13,0.0000,0.0000,0.0429,0.1952,-0.0021,0.0123,0.9807,0.125,,,,,,,
2,Left,14,0.0000,0.0000,0.0275,0.0513,0.0017,0.0486,0.9975,0.125,,,,,,,
2,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Left,17,-0.0025,-0.0005,0.0539,0.1414,-0.0822,0.0605,0.9847,0.125,,,,,,,
2,Left,18,0.0000,0.0000,0.0390,0.1639,0.0026,0.0372,0.9858,0.125,,,,,,,
2,Left,19,0.0000,0.0000,0.0266,0.0847,0.0296,0.0086,0.9959,0.125,,,,,,,
2,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.125,,,,,,,
2,Left,22,0.0000,0.0000,0.0457,0.0804,0.0140,-0.0897,0.9926,0.125,,,,,,,
2,Left,23,0.0000,0.0000,0.0307,0.1688,-0.0352,0.0530,0.9836,0.125,,,,,,,
2,Left,24,0.0000,0.0000,0.0203,0.0220,0.0491,-0.0008,0.9985,0.125,,,,,,,
2,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Right,0,-0.0023,-0.0054,0.0652,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.125,-0.0469,0.2667,0.0209,0.3593,-0.5192,0.3282,0.7026
2,Right,2,-0.0287,-0.0183,0.0356,-0.0010,-0.4089,0.6154,0.6738,0.125,,,,,,,
2,Right,3,0.0000,0.0000,0.0325,0.0066,0.0697,-0.0832,0.9941,0.125,,,,,,,
2,Right,4,0.0000,0.0000,0.0338,-0.0725,-0.0661,0.0838,0.9916,0.125,,,,,,,
2,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Right,6,-0.0191,-0.0106,0.0370,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Right,7,-0.0045,0.0033,0.0590,0.2092,0.0580,0.0268,0.9758,0.125,,,,,,,
2,Right,8,0.0000,0.0000,0.0379,0.2097,0.0016,-0.0263,0.9774,0.125,,,,,,,
2,Right,9,0.0000,0.0000,0.0243,0.0860,0.0245,-0.0168,0.9958,0.125,,,,,,,
2,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Right,11,-0.0029,-0.0082,0.0348,0.0000,0.0000,0.0000,1.0000,0.125,,,,,,,
2,Right,12,0.0011,0.0057,0.0608,0.3015,0.1007,-0.0348,0.9475,0.125,,,,,,,
2,Right,13,0.0000,0.0000,0.0429,0.2445,0.0015,-0.0125,0.9696,0.125,,,,,,,
2,Right,14,0.0000,0.0000,0.0275,0.1019,-0.0039,-0.0534,0.9934,0.125,,,,,,,
