FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0031,-0.0046,0.0644,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.1815,-0.0056,-0.1124,-0.1232,-0.2067,-0.1882,-0.9522
0,Left,2,0.0321,-0.0117,0.0323,-0.1360,0.4312,-0.5044,0.7356,0.042,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1385,-0.0580,0.0827,0.9852,0.042,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.1256,0.0495,-0.0788,0.9877,0.042,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,6,0.0208,-0.0073,0.0354,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,7,0.0028,0.0000,0.0606,0.0797,-0.0575,-0.0301,0.9947,0.042,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.2387,-0.0008,0.0263,0.9707,0.042,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1481,-0.0233,0.0170,0.9885,0.042,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,11,0.0046,-0.0066,0.0332,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,12,-0.0028,0.0040,0.0625,0.1477,-0.0814,0.0167,0.9855,0.042,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2389,-0.0015,0.0125,0.9710,0.042,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.1067,0.0041,0.0538,0.9928,0.042,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1487,-0.0912,0.0619,0.9827,0.042,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.2175,0.0044,0.0382,0.9753,0.042,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.1368,0.0297,0.0110,0.9901,0.042,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.042,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.1212,0.0086,-0.0880,0.9887,0.042,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.2206,-0.0328,0.0572,0.9731,0.042,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0651,0.0490,-0.0010,0.9967,0.042,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,0,-0.0017,-0.0057,0.0655,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,0.0699,0.2737,0.0372,0.3592,-0.4777,0.0559,0.7998
0,Right,2,-0.0264,-0.0209,0.0367,0.0674,-0.3995,0.6572,0.6356,0.042,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.0494,0.0660,-0.0832,0.9931,0.042,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,-0.0932,-0.0677,0.0841,0.9898,0.042,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,6,-0.0179,-0.0119,0.0376,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,7,-0.0056,0.0046,0.0584,0.2473,0.0716,0.0231,0.9660,0.042,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.2655,0.0001,-0.0263,0.9637,0.042,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.1014,0.0242,-0.0169,0.9944,0.042,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,11,-0.0017,-0.0088,0.0354,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,12,0.0000,0.0063,0.0602,0.3297,0.1015,-0.0382,0.9378,0.042,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.2321,0.0016,-0.0124,0.9726,0.042,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.0592,-0.0020,-0.0494,0.9970,0.042,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.3703,0.1364,-0.1003,0.9134,0.042,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.1992,-0.0038,-0.0379,0.9792,0.042,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.1292,-0.0297,-0.0107,0.9911,0.042,,,,,,,
