FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0032,-0.0045,0.0644,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.1984,-0.0215,-0.0931,-0.0603,-0.2823,-0.1907,-0.9382
0,Left,2,0.0323,-0.0112,0.0320,-0.1882,0.3620,-0.4732,0.7808,0.042,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1667,-0.0553,0.0824,0.9810,0.042,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.0289,0.0579,-0.0816,0.9946,0.042,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,6,0.0208,-0.0071,0.0352,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,7,0.0027,-0.0003,0.0608,0.1347,-0.0159,-0.0321,0.9902,0.042,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.2837,0.0004,0.0262,0.9586,0.042,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1528,-0.0232,0.0170,0.9878,0.042,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,11,0.0046,-0.0064,0.0331,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,12,-0.0029,0.0039,0.0626,0.1720,-0.0473,0.0142,0.9839,0.042,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2485,-0.0014,0.0125,0.9686,0.042,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.1004,0.0038,0.0532,0.9935,0.042,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
