FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0027,-0.0051,0.0649,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,-0.0934,0.1145,-0.0448,-0.0343,0.0861,-0.7102,-0.6979
0,Left,2,0.0304,-0.0158,0.0344,-0.1749,0.2519,-0.5336,0.7882,0.042,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.0729,-0.0640,0.0831,0.9918,0.042,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,-0.0089,0.0611,-0.0825,0.9947,0.042,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,6,0.0199,-0.0094,0.0364,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,7,0.0037,0.0021,0.0596,0.1011,-0.0148,-0.0316,0.9943,0.042,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.2553,-0.0004,0.0263,0.9665,0.042,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1012,-0.0242,0.0169,0.9944,0.042,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,11,0.0037,-0.0076,0.0342,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,12,-0.0020,0.0050,0.0614,0.1285,-0.0698,0.0142,0.9891,0.042,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2650,-0.0012,0.0125,0.9642,0.042,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.0773,0.0028,0.0511,0.9957,0.042,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1370,-0.0997,0.0616,0.9836,0.042,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.2216,0.0045,0.0383,0.9744,0.042,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.0992,0.0296,0.0093,0.9946,0.042,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.042,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.0958,-0.0116,-0.0871,0.9915,0.042,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.1986,-0.0338,0.0554,0.9779,0.042,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0472,0.0491,-0.0009,0.9977,0.042,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,0,-0.0026,-0.0052,0.0651,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,0.0696,0.1332,-0.0779,0.0083,0.1217,-0.7816,0.6117
0,Right,2,-0.0298,-0.0168,0.0348,-0.1071,-0.3218,0.5730,0.7460,0.042,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.1327,0.0585,-0.0828,0.9860,0.042,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,0.0873,-0.0529,0.0800,0.9916,0.042,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,6,-0.0196,-0.0099,0.0366,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,7,-0.0040,0.0025,0.0594,0.1049,0.0388,0.0305,0.9933,0.042,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.2113,0.0016,-0.0263,0.9771,0.042,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.0861,0.0245,-0.0168,0.9958,0.042,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,11,-0.0034,-0.0078,0.0345,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
0,Right,12,0.0017,0.0053,0.0612,0.1512,0.0870,-0.0176,0.9845,0.042,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.2461,0.0015,-0.0125,0.9692,0.042,,,,,,,
