FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0031,-0.0046,0.0645,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.2002,-0.0333,-0.0733,-0.0561,-0.3126,-0.2309,-0.9197
0,Left,2,0.0319,-0.0123,0.0326,-0.1167,0.4428,-0.5177,0.7227,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1388,-0.0580,0.0827,0.9852,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.1152,0.0504,-0.0791,0.9889,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0207,-0.0076,0.0355,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0029,0.0003,0.0605,0.1389,-0.0491,-0.0294,0.9887,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.2824,0.0004,0.0262,0.9589,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1630,-0.0230,0.0170,0.9862,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0045,-0.0067,0.0333,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0027,0.0042,0.0623,0.1925,-0.0798,0.0200,0.9778,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2816,-0.0010,0.0126,0.9595,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.1290,0.0051,0.0559,0.9901,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.2111,-0.0921,0.0679,0.9707,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.2364,0.0050,0.0385,0.9709,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.1479,0.0297,0.0115,0.9885,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.2020,-0.0011,-0.0842,0.9758,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.2084,-0.0334,0.0562,0.9758,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0673,0.0490,-0.0010,0.9965,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0024,-0.0053,0.0652,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
