FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Right,0,-0.002396318,-0.005303738,0.06516658,0,0,0,1,0.0418396,,,,,,,
0,Right,1,0,0,0,0,0,0,1,0.0418396,-0.14666,-0.8598236,0.04963054,-0.5110866,0.3354281,0.7059777,-0.3575952
0,Right,2,-0.02913209,-0.01775099,0.03529966,-0.06058196,-0.3542385,0.5982491,0.7162004,0.0418396,,,,,,,
0,Right,3,-1.426981E-08,-2.362014E-09,0.0325129,0.2553918,0.04659473,-0.08099759,0.9623115,0.0418396,,,,,,,
0,Right,4,2.758958E-08,1.277275E-08,0.03379313,0.2958331,-0.03324815,0.07179388,0.9519575,0.0418396,,,,,,,
0,Right,5,0.0006703365,0.001026958,0.02459074,-5.704887E-09,3.436083E-09,-4.972604E-09,1,0.0418396,,,,,,,
0,Right,6,-0.01927618,-0.01033877,0.0368491,0,0,0,1,0.0418396,,,,,,,
0,Right,7,-0.004274502,0.003022295,0.05914713,0.2386913,-0.03309472,0.04318346,0.9695702,0.0418396,,,,,,,
0,Right,8,9.715121E-09,4.397354E-08,0.03792733,0.1443505,0.003395038,-0.02631322,0.989171,0.0418396,,,,,,,
0,Right,9,-4.249133E-09,-1.968663E-08,0.02430367,0.06118563,0.02497607,-0.01672071,0.9976737,0.0418396,,,,,,,
0,Right,10,0.0002956279,0.001025075,0.02236352,-2.245161E-08,6.501398E-11,-1.22769E-09,1,0.0418396,,,,,,,
0,Right,11,-0.003066754,-0.008064304,0.03468661,0,0,0,1,0.0418396,,,,,,,
0,Right,12,0.001340832,0.00552117,0.06095999,0.1538573,0.05575846,-0.01435228,0.9864143,0.0418396,,,,,,,
0,Right,13,1.925387E-08,-2.844409E-08,0.04292708,0.2664923,0.001203174,-0.01255022,0.9637547,0.0418396,,,,,,,
0,Right,14,9.52734E-09,-3.089022E-08,0.02754958,0.1369392,-0.005432573,-0.0566293,0.9889446,0.0418396,,,,,,,
0,Right,15,0.0003086459,0.00113732,0.02496498,-1.250213E-08,-3.310674E-09,-4.879142E-10,1,0.0418396,,,,,,,
0,Right,16,0.01499235,-0.006015791,0.03477554,0,0,0,1,0.0418396,,,,,,,
0,Right,17,0.002472888,-0.0005134987,0.05391829,0.1277179,0.1121163,-0.06156744,0.9835281,0.0418396,,,,,,,
0,Right,18,3.555601E-08,-4.409627E-08,0.03899611,0.3616706,-0.009341896,-0.04035808,0.9313853,0.0418396,,,,,,,
0,Right,19,3.773424E-09,4.047452E-08,0.02657349,0.2102563,-0.02962498,-0.01441229,0.9770911,0.0418396,,,,,,,
0,Right,20,0.0002579936,0.001608175,0.02432647,1.653827E-08,2.05254E-11,-4.457867E-09,1,0.0418396,,,,,,,
0,Right,21,0.02299858,-0.009419833,0.03407354,0.01831179,0.1403428,-0.207036,0.9680417,0.0418396,,,,,,,
0,Right,22,-2.205393E-06,-9.919544E-07,0.0456506,0.09348739,0.04187668,0.08459922,0.9911355,0.0418396,,,,,,,
0,Right,23,-1.230967E-08,9.955028E-09,0.03072043,0.3614063,0.02546173,-0.06785535,0.9295875,0.0418396,,,,,,,
0,Right,24,6.026296E-08,-7.401217E-09,0.02031142,0.1686532,-0.04834051,0.001299043,0.9844885,0.0418396,,,,,,,
