FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0028,-0.0050,0.0649,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.433000,-0.220000,0.061200,-0.0743,-0.5951,-0.7963,0.0786
0,Left,2,0.0306,-0.0155,0.0342,-0.1237,0.3365,-0.5506,0.7538,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1399,-0.0579,0.0827,0.9850,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.0604,0.0552,-0.0808,0.9934,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0200,-0.0092,0.0363,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0036,0.0019,0.0597,0.1196,-0.0451,-0.0299,0.9913,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.2414,-0.0008,0.0263,0.9701,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1439,-0.0234,0.0170,0.9892,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0038,-0.0075,0.0341,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0021,0.0050,0.0615,0.1821,-0.0957,0.0215,0.9784,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2484,-0.0014,0.0125,0.9686,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.1055,0.0041,0.0537,0.9930,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.2084,-0.1294,0.0734,0.9667,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.1973,0.0037,0.0378,0.9796,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.1077,0.0296,0.0097,0.9937,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.1900,-0.0512,-0.0753,0.9776,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.1669,-0.0353,0.0529,0.9839,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0233,0.0491,-0.0008,0.9985,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0027,-0.0051,0.0650,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.0456,-0.3044,0.1084,0.0019,0.5914,0.8028,-0.0756
0,Right,2,-0.0303,-0.0160,0.0345,-0.1060,-0.3469,0.5629,0.7427,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.2408,0.0481,-0.0813,0.9660,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,0.1446,-0.0478,0.0781,0.9852,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0198,-0.0095,0.0364,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0037,0.0021,0.0596,0.2248,0.0861,0.0214,0.9704,0.000,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.1449,0.0034,-0.0263,0.9891,0.000,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.0664,0.0249,-0.0167,0.9973,0.000,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,11,-0.0036,-0.0076,0.0343,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,12,0.0019,0.0051,0.0614,0.2739,0.0973,-0.0309,0.9563,0.000,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.0873,0.0034,-0.0118,0.9961,0.000,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.0030,0.0004,-0.0439,0.9990,0.000,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.2447,0.1025,-0.0733,0.9614,0.000,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.0719,0.0006,-0.0352,0.9968,0.000,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.0425,-0.0295,-0.0066,0.9986,0.000,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.000,,,,,,,
0,Right,22,0.0000,0.0000,0.0457,0.1589,-0.0135,0.0877,0.9833,0.000,,,,,,,
0,Right,23,0.0000,0.0000,0.0307,0.1278,0.0371,-0.0497,0.9899,0.000,,,,,,,
0,Right,24,0.0000,0.0000,0.0203,0.0041,-0.0492,0.0007,0.9988,0.000,,,,,,,
0,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
1,Left,0,0.0028,-0.0050,0.0649,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.012,0.432900,-0.219100,0.060300,-0.0741,-0.5952,-0.7963,0.0786
1,Left,2,0.0306,-0.0155,0.0342,-0.1239,0.3368,-0.5504,0.7539,0.012,,,,,,,
1,Left,3,0.0000,0.0000,0.0325,0.1400,-0.0579,0.0827,0.9850,0.012,,,,,,,
1,Left,4,0.0000,0.0000,0.0338,0.0599,0.0553,-0.0808,0.9934,0.012,,,,,,,
1,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Left,6,0.0200,-0.0092,0.0363,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Left,7,0.0036,0.0019,0.0597,0.1195,-0.0446,-0.0300,0.9914,0.012,,,,,,,
1,Left,8,0.0000,0.0000,0.0379,0.2411,-0.0008,0.0263,0.9701,0.012,,,,,,,
1,Left,9,0.0000,0.0000,0.0243,0.1439,-0.0234,0.0170,0.9892,0.012,,,,,,,
1,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Left,11,0.0038,-0.0075,0.0341,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Left,12,-0.0021,0.0050,0.0615,0.1817,-0.0957,0.0214,0.9785,0.012,,,,,,,
1,Left,13,0.0000,0.0000,0.0429,0.2493,-0.0014,0.0125,0.9683,0.012,,,,,,,
1,Left,14,0.0000,0.0000,0.0275,0.1066,0.0041,0.0538,0.9928,0.012,,,,,,,
1,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Left,17,-0.0025,-0.0005,0.0539,0.2078,-0.1296,0.0733,0.9668,0.012,,,,,,,
1,Left,18,0.0000,0.0000,0.0390,0.1988,0.0038,0.0378,0.9793,0.012,,,,,,,
1,Left,19,0.0000,0.0000,0.0266,0.1089,0.0296,0.0098,0.9936,0.012,,,,,,,
1,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.012,,,,,,,
1,Left,22,0.0000,0.0000,0.0457,0.1903,-0.0513,-0.0753,0.9775,0.012,,,,,,,
1,Left,23,0.0000,0.0000,0.0307,0.1671,-0.0353,0.0529,0.9839,0.012,,,,,,,
1,Left,24,0.0000,0.0000,0.0203,0.0236,0.0491,-0.0008,0.9985,0.012,,,,,,,
1,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Right,0,-0.0027,-0.0051,0.0650,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.012,-0.0455,-0.3044,0.1084,0.0023,0.5914,0.8028,-0.0760
1,Right,2,-0.0303,-0.0160,0.0345,-0.1063,-0.3468,0.5627,0.7428,0.012,,,,,,,
1,Right,3,0.0000,0.0000,0.0325,0.2409,0.0481,-0.0813,0.9659,0.012,,,,,,,
1,Right,4,0.0000,0.0000,0.0338,0.1450,-0.0478,0.0781,0.9852,0.012,,,,,,,
1,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Right,6,-0.0198,-0.0095,0.0364,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Right,7,-0.0037,0.0021,0.0596,0.2250,0.0865,0.0213,0.9703,0.012,,,,,,,
1,Right,8,0.0000,0.0000,0.0379,0.1449,0.0034,-0.0263,0.9891,0.012,,,,,,,
1,Right,9,0.0000,0.0000,0.0243,0.0666,0.0249,-0.0167,0.9973,0.012,,,,,,,
1,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Right,11,-0.0036,-0.0076,0.0343,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Right,12,0.0019,0.0051,0.0614,0.2743,0.0978,-0.0311,0.9562,0.012,,,,,,,
1,Right,13,0.0000,0.0000,0.0429,0.0876,0.0034,-0.0118,0.9961,0.012,,,,,,,
1,Right,14,0.0000,0.0000,0.0275,0.0030,0.0004,-0.0439,0.9990,0.012,,,,,,,
1,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Right,17,0.0025,-0.0005,0.0539,0.2451,0.1030,-0.0735,0.9612,0.012,,,,,,,
1,Right,18,0.0000,0.0000,0.0390,0.0723,0.0006,-0.0352,0.9968,0.012,,,,,,,
1,Right,19,0.0000,0.0000,0.0266,0.0427,-0.0295,-0.0066,0.9986,0.012,,,,,,,
1,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
1,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.012,,,,,,,
1,Right,22,0.0000,0.0000,0.0457,0.1589,-0.0132,0.0877,0.9833,0.012,,,,,,,
1,Right,23,0.0000,0.0000,0.0307,0.1279,0.0371,-0.0497,0.9898,0.012,,,,,,,
1,Right,24,0.0000,0.0000,0.0203,0.0041,-0.0492,0.0007,0.9988,0.012,,,,,,,
1,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.012,,,,,,,
2,Left,0,0.0028,-0.0050,0.0649,0.0000,0.0000,0.0000,1.0000,0.024,,,,,,,
