FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0019,-0.0056,0.0655,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.1427,-0.4920,0.0752,0.1495,-0.2491,-0.8067,0.5146
0,Left,2,0.0270,-0.0202,0.0365,-0.0059,0.3424,-0.6436,0.6844,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.2431,-0.0478,0.0812,0.9654,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.3820,0.0243,-0.0672,0.9214,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0182,-0.0116,0.0374,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0053,0.0043,0.0586,0.4882,-0.0610,-0.0177,0.8704,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.7607,0.0150,0.0207,0.6487,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.5445,-0.0129,0.0165,0.8385,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0020,-0.0087,0.0353,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0003,0.0061,0.0604,0.5939,-0.0618,0.0493,0.8006,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.6900,0.0046,0.0126,0.7237,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.5270,0.0225,0.0886,0.8449,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.6009,-0.0478,0.0925,0.7925,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.6970,0.0212,0.0416,0.7156,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.5525,0.0270,0.0298,0.8326,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.5470,-0.0303,-0.0640,0.8341,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.7099,-0.0021,0.0895,0.6986,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.5655,0.0401,-0.0026,0.8238,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0028,-0.0050,0.0648,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.0531,-0.3381,0.1023,0.0099,0.5786,0.8129,0.0660
0,Right,2,-0.0307,-0.0151,0.0340,-0.1220,-0.3494,0.5469,0.7510,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.2500,0.0471,-0.0811,0.9637,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,0.1122,-0.0507,0.0792,0.9892,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0201,-0.0090,0.0362,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0035,0.0017,0.0598,0.1898,0.0078,0.0342,0.9812,0.000,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.1175,0.0041,-0.0263,0.9927,0.000,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.0637,0.0249,-0.0167,0.9975,0.000,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,11,-0.0039,-0.0074,0.0341,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,12,0.0021,0.0049,0.0616,0.2412,0.0163,-0.0111,0.9703,0.000,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.0977,0.0032,-0.0118,0.9951,0.000,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.0204,-0.0003,-0.0456,0.9988,0.000,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.2135,0.0325,-0.0582,0.9747,0.000,,,,,,,
