FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0022,-0.0055,0.0653,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.1441,0.1110,0.0101,-0.1671,0.4307,-0.8054,-0.3714
0,Left,2,0.0282,-0.0189,0.0359,0.0042,0.3951,-0.6248,0.6734,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.2913,-0.0429,0.0802,0.9523,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.1814,0.0444,-0.0768,0.9794,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0188,-0.0109,0.0371,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0047,0.0036,0.0589,0.2868,-0.0533,-0.0260,0.9561,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.3050,0.0010,0.0262,0.9520,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1296,-0.0237,0.0169,0.9911,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0026,-0.0084,0.0350,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0009,0.0058,0.0607,0.3089,-0.0835,0.0308,0.9469,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.2937,-0.0009,0.0126,0.9558,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.1379,0.0055,0.0567,0.9888,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.2766,-0.1075,0.0781,0.9518,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.3131,0.0077,0.0397,0.9489,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.1920,0.0297,0.0136,0.9809,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.1936,-0.0771,-0.0697,0.9756,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.2897,-0.0293,0.0625,0.9546,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.1382,0.0486,-0.0012,0.9892,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0020,-0.0055,0.0654,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.1931,0.1270,-0.0029,0.2037,0.3751,-0.8087,0.4048
0,Right,2,-0.0277,-0.0196,0.0361,-0.0251,-0.3421,0.6306,0.6962,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.3113,0.0408,-0.0797,0.9461,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,0.1986,-0.0428,0.0761,0.9762,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0186,-0.0112,0.0373,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0050,0.0039,0.0587,0.2475,0.0320,0.0311,0.9679,0.000,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.3463,-0.0022,-0.0260,0.9378,0.000,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.1553,0.0232,-0.0170,0.9875,0.000,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,11,-0.0023,-0.0085,0.0351,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,12,0.0006,0.0060,0.0605,0.3467,0.0604,-0.0269,0.9356,0.000,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.3211,0.0005,-0.0127,0.9470,0.000,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.1490,-0.0060,-0.0577,0.9871,0.000,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.3311,0.0931,-0.0809,0.9355,0.000,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.3229,-0.0080,-0.0399,0.9456,0.000,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.1920,-0.0297,-0.0136,0.9808,0.000,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
