FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0026,-0.0052,0.0651,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.2000,-0.3855,0.2354,0.7978,0.3397,0.3487,-0.3558
0,Left,2,0.0298,-0.0168,0.0348,-0.0956,0.3378,-0.5763,0.7380,0.000,,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.2011,-0.0520,0.0819,0.9747,0.000,,,,,,,
0,Left,4,0.0000,0.0000,0.0338,-0.0713,0.0660,-0.0837,0.9917,0.000,,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,6,0.0196,-0.0099,0.0366,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,7,0.0039,0.0025,0.0594,0.2209,-0.0201,-0.0330,0.9745,0.000,,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.1742,-0.0026,0.0263,0.9844,0.000,,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.0677,-0.0249,0.0167,0.9973,0.000,,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,11,0.0034,-0.0078,0.0345,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,12,-0.0017,0.0053,0.0612,0.3092,-0.0664,0.0260,0.9483,0.000,,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.0894,-0.0033,0.0118,0.9959,0.000,,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.0086,-0.0002,0.0445,0.9990,0.000,,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.2686,-0.0998,0.0754,0.9551,0.000,,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.1158,0.0009,0.0362,0.9926,0.000,,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.0717,0.0296,0.0080,0.9970,0.000,,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.000,,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.1370,-0.0501,-0.0800,0.9861,0.000,,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.1603,-0.0356,0.0523,0.9850,0.000,,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.0681,0.0490,-0.0010,0.9965,0.000,,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,0,-0.0027,-0.0050,0.0649,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.2085,-0.0200,0.3991,-0.3094,0.7013,0.0467,0.6405
0,Right,2,-0.0304,-0.0157,0.0343,-0.1337,-0.3166,0.5495,0.7616,0.000,,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.1230,0.0594,-0.0828,0.9872,0.000,,,,,,,
0,Right,4,0.0000,0.0000,0.0338,-0.0293,-0.0627,0.0829,0.9941,0.000,,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,6,-0.0199,-0.0093,0.0364,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,7,-0.0036,0.0020,0.0596,0.1406,0.0258,0.0314,0.9892,0.000,,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.1989,0.0019,-0.0264,0.9797,0.000,,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.0995,0.0243,-0.0169,0.9946,0.000,,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,11,-0.0037,-0.0075,0.0342,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,12,0.0020,0.0050,0.0615,0.2408,0.0980,-0.0277,0.9652,0.000,,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.1473,0.0027,-0.0121,0.9890,0.000,,,,,,,
0,Right,14,0.0000,0.0000,0.0275,0.0446,-0.0014,-0.0480,0.9979,0.000,,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.2268,0.1212,-0.0745,0.9635,0.000,,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.1648,-0.0026,-0.0372,0.9856,0.000,,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.0974,-0.0296,-0.0092,0.9948,0.000,,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
0,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9680,0.000,,,,,,,
0,Right,22,0.0000,0.0000,0.0457,0.1269,0.0660,0.0788,0.9866,0.000,,,,,,,
0,Right,23,0.0000,0.0000,0.0307,0.2009,0.0337,-0.0556,0.9775,0.000,,,,,,,
0,Right,24,0.0000,0.0000,0.0203,0.0841,-0.0489,0.0010,0.9953,0.000,,,,,,,
0,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
1,Left,0,0.0026,-0.0052,0.0651,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.042,0.2058,-0.3819,0.2276,0.7983,0.3408,0.3477,-0.3544
1,Left,2,0.0298,-0.0168,0.0348,-0.0822,0.3549,-0.5803,0.7284,0.042,,,,,,,
1,Left,3,0.0000,0.0000,0.0325,0.2000,-0.0521,0.0820,0.9750,0.042,,,,,,,
1,Left,4,0.0000,0.0000,0.0338,-0.0705,0.0660,-0.0837,0.9918,0.042,,,,,,,
1,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,6,0.0196,-0.0099,0.0366,0.0000,0.0000,0.0000,1.0000,0.042,,,,,,,
1,Left,7,0.0040,0.0025,0.0594,0.2223,-0.0206,-0.0329,0.9742,0.042,,,,,,,
1,Left,8,0.0000,0.0000,0.0379,0.1741,-0.0026,0.0263,0.9844,0.042,,,,,,,
1,Left,9,0.0000,0.0000,0.0243,0.0690,-0.0248,0.0168,0.9972,0.042,,,,,,,
