scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
2,견갑거근,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",시작,,,,,,,,,,,
2,견갑거근,진단,진단,1,1,2,우측 견갑거근의 긴장도를 촉진하여 평가하세요.,평가1,,,,,,,,,,,
2,견갑거근,진단,진단,1,2,2,반대쪽도 동일하게 평가하세요.,평가2,,,,,,,,,,,
2,견갑거근,전부,가이드,0,1,0,[시작] 버튼을 눌러 견갑거근 시술을 진행하세요,전부시작,,,,,,,,,,,
2,견갑거근,전부,제한장벽확인,2,1,0,환측 팔을 회외하여 둔부 뒤에 고정하세요.,자세지시,자세지시,,guideOnly,앉아 견갑 대기,,1:02,1:08,PostureGuide,,,
2,견갑거근,전부,제한장벽확인,2,2,0,"목을 굴곡, 건측 측굴 후 건측 회전하여 제한장벽을 확인하세요.",건측회전,건측회전,,,앉아 견갑 건측 회전,rotation,1:02,1:08,,,,
2,견갑거근,전부,제한장벽확인,2,3,0,건측 측굴하여 끝 느낌을 확인하세요.,측굴,후부측굴,,,앉아 견갑 건측 측굴,position,1:10,1:14,,,,
2,견갑거근,전부,제한장벽확인,2,3,0,건측 측굴하여 끝 느낌을 확인하세요.,,,,,앉아 견갑 중간,,1:14,1:33,,,,
2,견갑거근,전부,등척성운동,3,1,7,"숨을 들이쉬게 한 뒤, 최대 힘의 20%로 6~7초간 등척성 수축을 실시하세요.",등척성운동,등척성운동,,,,,,,,,,
2,견갑거근,전부,스트레칭,4,1,0,"숨을 내쉬게 한 뒤, 휴지기 4초 후 8초간 스트레칭하세요.",스트레칭,후부측굴,,,앉아 견갑 건측 측굴,position,1:34,1:43,,,,
2,견갑거근,전부,스트레칭,4,2,0,중립으로 돌아오세요.,중립,,,,앉아 견갑 중립,,,,,,,
2,견갑거근,전부,재평가,5,1,0,재평가를 위해 건측 회전하세요.,재평가,건측회전,,,앉아 견갑 건측 회전,rotation,1:47,1:50,,,,
2,견갑거근,전부,재평가,5,2,0,측굴하여 가동범위 변화를 확인하세요.,,후부측굴,,,앉아 견갑 건측 측굴,position,1:50,1:56,,,,
2,견갑거근,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",종료,,,,앉아 견갑 중립,,,,,,,
