scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
1,앙와위 흉추 신전변위 교정기법,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",,,,,,,,,,,,
1,앙와위 흉추 신전변위 교정기법,진단,진단,1,1,0,진단 과정 필요?,,,,,,,,,,,,
1,앙와위 흉추 신전변위 교정기법,,가이드,0,1,0,[시작] 버튼을 눌러 앙와위 흉추 신전변위 교정기법를 진행하세요,,,,,,,,,,,,
1,앙와위 흉추 신전변위 교정기법,,위치하기,2,1,0,"환자에게 자세를 지시하세요
(자세 지시에 대한 행동 방법 논의 필요/ 애니메이션으로 자동으로 자세를 취할지 순서대로 직접 설명에 맞게 자세를 취하게 할지)",자세를 취하는 과정의 영상,,,,,,,,,,,
1,앙와위 흉추 신전변위 교정기법,,위치하기,2,2,0,환자의 측면에서 펜싱자세로 두방을 향해 서세요.,시술자의 위치를 설명하는 영상,,,,,,,,,,,
1,앙와위 흉추 신전변위 교정기법,,위치하기,2,3,0,족방수의 2-5지의 지골간관절의 말단과 기 저부를 완전히 구부리고 극돌기는 손바닥과 구부린 손가 락 사이에 위치하세요.,주동수의 위치를 보여주는 영상,,,,,,,,,,,
1,앙와위 흉추 신전변위 교정기법,,위치하기,2,4,0,두방수의 손과 전완으로 환자의 머리를 지지하세요,보조수의 위치를 보여주는 영상,,,,,,,,,,,
1,앙와위 흉추 신전변위 교정기법,,시술하기,3,1,0,환자에게 숨을 들이쉰 후 내쉴 때 위와 같 은 접촉상태에서 내쉬는 숨을 쭉따라가 시술자는 흉추를 구부리세요,환자가 내쉬고 구부리기까지의 과정,두 과정은 하나의 영상에서 분리해서 작업,,,,,,,,,,
1,앙와위 흉추 신전변위 교정기법,,시술하기,3,2,0,"환자가 완전히 내쉬었을 때 전방에서 후방으로, 약간의 족방에서 두방으로 빠르게 몸을 떨어뜨려 교정하세요.",완전히 내쉰 뒤 떨어트리는 과정,,,,,,,,,,,
1,앙와위 흉추 신전변위 교정기법,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,검토 요청 사항,,,,,,,,,,,,
,,,단계 명칭에 대한 검토 요청,,,,"전체 과정은 진단하기를 제외한 현재 시나리오의 정리된 내용이 전부인가?
기존 단순 추나처럼 재진단 혹은 재평가의 과정이 있는가?
매뉴얼의 텍스트 상으로는 위 시나리오의 내용이 전부인것으로 예상됨",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,복와위 양손두상골 하부흉추 골곡변위 교정기법,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",,,,,,,,,,,,
1,복와위 양손두상골 하부흉추 골곡변위 교정기법,진단,진단,1,1,0,진단 과정 필요?,,,,,,,,,,,,
1,복와위 양손두상골 하부흉추 골곡변위 교정기법,,가이드,0,1,0,[시작] 버튼을 눌러 복와위 양손두상골 하부흉추 골곡변위 교정기법를 진행하세요,,,,,,,,,,,,
1,복와위 양손두상골 하부흉추 골곡변위 교정기법,,위치하기,2,1,0,환자의 대측면에서 환측면을 향하여 빗장자세로 서세요.,시술자의 위치를 설명하는 영상,,,,,,,,,,,
1,복와위 양손두상골 하부흉추 골곡변위 교정기법,,위치하기,2,2,0,족방수를 환측의 횡돌기에 두상골부를 접촉,주동수의 위치를 보여주는 영상,,,,,,,,,,,
1,복와위 양손두상골 하부흉추 골곡변위 교정기법,,위치하기,2,3,0,두방수를 대측의 횡돌기에 두상골부를 접촉 （주동수와 보조수를 반대로 교차하여 치료하여도 무방하다）,보조수의 위치를 보여주는 영상,,,,,,,,,,,
1,복와위 양손두상골 하부흉추 골곡변위 교정기법,,시술하기,3,1,0,환자에게 숨을 들이쉰 후 내쉴 때 위와 같 은 접촉상태에서 내쉬는 숨을 쭉 따라가세요,환자가 내쉬고 따라가는 과정,두 과정은 하나의 영상에서 분리해서 작업,,,,,,,,,,
1,복와위 양손두상골 하부흉추 골곡변위 교정기법,,시술하기,3,2,0,"환자가 완전히 내쉬었을 때 주동수는 후방에서 전방으로, 보조수는 두방에서 족방으로 순간 교정하세요.",완전히 내쉰 뒤 밀면서 교정하는 과정,,,,,,,,,,,
1,복와위 양손두상골 하부흉추 골곡변위 교정기법,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,2nd rib 교정,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",,,,,,,,,,,,
1,2nd rib 교정,진단,진단,1,1,0,진단 과정 필요?,,,,,,,,,,,,
1,2nd rib 교정,,가이드,0,1,0,[시작] 버튼을 눌러 2nd rib 교정기법를 진행하세요,,,,,,,,,,,,
1,2nd rib 교정,,위치하기,2,1,0,환자의 두방에서 족방을 향하여 앉으세요 (실습 진입시 환자의 머리쪽에서 시작할 예정이라 별도 안내 필요 없을 경우 삭제),시술자의 위치를 설명하는 영상,,,,,,,,,,,
1,2nd rib 교정,,위치하기,2,2,0,내방수로 환측 늑골의 외측 상면에 접촉한다. ,주동수의 위치를 보여주는 영상,,,,,,,,,,,
1,2nd rib 교정,,위치하기,2,3,0,외방수로 흉곽입구와 하부경추에 접촉한다.,보조수의 위치를 보여주는 영상,,,,,,,,,,,
1,2nd rib 교정,,시술하기,3,1,0,주동수와 보조수를 위치한 상태에서 주동수는 아래로 힘을 준다,주동수의 동작을 설명하는 영상,,,,,,,,,,,
1,2nd rib 교정,,시술하기,3,2,0,"환자는 환측 손목을 배측 굴곡시키고, 환측 팔 을 외전과 외회전을 하면서 정중신경 경막가동술을 시행한다. 시술자는 경막가동술 이후에 환측 늑골 제한이 이완되었음을 확인한다
손목의 배측 굴곡, 팔의 외전 외회전은 환자가 능동적으로 취해야하는 동작인지
경막가동술 명칭에 해당되는 동작이 무엇인지 / 늑골 제한의 이완을 확인하는 동작이 무엇인지 명확한 정의 필요",내용의 정의에 따라 녹화에 필요한 영상과 구간의 변경,,,,,,,,,,,
1,2nd rib 교정,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1st rib 교정,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",,,,,,,,,,,,
1,1st rib 교정,진단,진단,1,1,0,진단 과정 필요?,,,,,,,,,,,,
1,1st rib 교정,,가이드,0,1,0,[시작] 버튼을 눌러 1st rib 교정기법를 진행하세요,,,,,,,,,,,,
1,1st rib 교정,,위치하기,2,1,0,환자의 두방에서 족방을 향하여 앉으세요 (실습 진입시 환자의 머리쪽에서 시작할 예정이라 별도 안내 필요 없을 경우 삭제),시술자의 위치를 설명하는 영상,,,,,,,,,,,
1,1st rib 교정,,위치하기,2,2,0,환측 제1늑골 전상방(쇄골 상와 부위)에 검지(제2지)의 측면 또는 중지를 접촉합니다.,주동수의 위치를 보여주는 영상,,,,,,,,,,,
1,1st rib 교정,,위치하기,2,3,0,환자의 반대측 후두부 및 측두부를 받쳐 경추의 움직임을 통제합니다.,보조수의 위치를 보여주는 영상,,,,,,,,,,,
