scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
1,대흉근,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",시작,,,,,,,,,,,
1,대흉근,진단,진단,1,1,2,우측 대흉근의 상태를 평가하세요,평가1,,,,,,,,,,,
1,대흉근,진단,진단,1,2,2,동일하게 반대쪽을 평가하세요,평가2,,,,,,,,,,,
1,대흉근,흉골지,가이드,0,1,0,[시작] 버튼을 눌러 흉골지 섬유를 진행하세요,흉골지시작,,,,,,,,,,,
1,대흉근,흉골지,제한장벽확인,2,1,0,보조수를 위치한다,보조수,,,guideOnly,보조수 위치,,,,,RightShoulder,,
1,대흉근,흉골지,제한장벽확인,2,2,0,주동수를 위치한다,흉골지,,,guideOnly,흉골지 자세,,,,,RightShoulder,,
1,대흉근,흉골지,제한장벽확인,2,3,0,근육의 기시와 종지가 멀어지는 방향으로 제한장벽 확인한다,흉골지외전,흉골지 외전,,,흉골지 외전,position,1:02,1:08,,,,
1,대흉근,흉골지,제한장벽확인,2,4,0,자세를 원상태로 돌린다,,,,,흉골지 중간,,1:14,1:33,,,,
1,대흉근,흉골지,등척성운동,3,1,7,등척성 운동을 실시한다,등척성운동,흉골지 등척성,,,,,,,,,,
1,대흉근,흉골지,스트레칭,4,1,0,그상태에서 수평 외전을 하여 스트레칭을 실시한다,스트레칭,흉골지 외전,,,흉골지 외전,position,1:34,1:43,,,,
1,대흉근,흉골지,스트레칭,4,2,0,자세를 원상태로 돌린다,중립,,,,흉골지 중립,,,,,,,
1,대흉근,흉골지,재평가,5,1,0,재평가를 위해 환자의 팔을 수평 외전한다,재평가,흉골지 외전,,,흉골지 외전,position,1:47,1:50,,,,
1,대흉근,쇄골지,가이드,0,1,0,"흉골지 섬유 확인이 끝났습니다
[시작] 버튼을 눌러 쇄골지 섬유를 진행하세요",쇄골지시작,,,,흉골지 중립,,,,,,,
1,대흉근,쇄골지,제한장벽확인,2,1,0,주동수를 위치한다,쇄골지,,,guideOnly,쇄골지 자세,,,,,RightShoulder,,
1,대흉근,쇄골지,제한장벽확인,2,2,0,근육의 기시와 종지가 멀어지는 방향으로 제한장벽 확인한다,쇄골지외전,쇄골지 외전,,,쇄골지 외전,position,2:08,2:11,,,,
1,대흉근,쇄골지,제한장벽확인,2,3,0,자세를 원상태로 돌린다,,,,,쇄골지 중간,,,,,,,
1,대흉근,쇄골지,등척성운동,3,1,7,등척성 운동을 실시한다,등척성운동,쇄골지 등척성,,,,,2:11,2:32,,,,
1,대흉근,쇄골지,스트레칭,4,1,0,그상태에서 수평 외전을 하여 스트레칭을 실시한다,스트레칭,쇄골지 외전,,,쇄골지 외전,position,2:32,2:44,,,,
1,대흉근,쇄골지,스트레칭,4,2,0,자세를 원상태로 돌린다,중립,,,,쇄골지 중립,,,,,,,
1,대흉근,쇄골지,재평가,5,2,0,재평가를 위해 환자의 팔을 수평 외전한다,재평가,쇄골지 외전,,,쇄골지 외전,position,2:45,2:54,,,,
1,대흉근,늑골지,가이드,0,1,2,"쇄골지 섬유 확인이 끝났습니다
[시작] 버튼을 눌러 늑골지 섬유를 진행하세요",늑골지시작,,,,쇄골지 중립,,,,,,,
1,대흉근,늑골지,제한장벽확인,2,1,0,주동수를 위치한다,늑골지,,,guideOnly,늑골지 자세,,,,,RightShoulder,,
1,대흉근,늑골지,제한장벽확인,2,2,0,근육의 기시와 종지가 멀어지는 방향으로 제한장벽 확인한다,늑골지외전,늑골지 외전,,,늑골지 외전,position,2:57,3:00,,,,
1,대흉근,늑골지,제한장벽확인,2,3,0,자세를 원상태로 돌린다,,,,,늑골지 중간,,,,,,,
1,대흉근,늑골지,등척성운동,3,1,7,등척성 운동을 실시한다,등척성운동,늑골지 등척성,,,,,3:12,3:24,,,,
1,대흉근,늑골지,스트레칭,4,1,0,그상태에서 수평 외전을 하여 스트레칭을 실시한다,스트레칭,늑골지 외전,,,늑골지 외전,position,3:24,3:34,,,,
1,대흉근,늑골지,스트레칭,4,2,0,자세를 원상태로 돌린다,중립,,,,늑골지 중립,,,,,,,
1,대흉근,늑골지,재평가,5,1,0,재평가를 위해 환자의 팔을 수평 외전한다,재평가,늑골지 외전,,,늑골지 외전,position,3:37,3:39,,,,
1,대흉근,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",종료,,,,늑골지 중립,,,,,,,
