scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
9,두개골PJ교정,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",시작,,,,,,,,,,,
9,두개골PJ교정,평가,진단,1,1,0,"왼손으로 후두골을, 오른손으로 관골궁과 유양돌기를 잡고 굴곡과 외회전을 평가하세요.
좌우를 번갈아 각각 3초간 유지하며, 우측 굴곡 시 내회전이 일어나는 것을 확인하여 기능장애로 진단합니다.",진단1,PM 진단 좌,cranialTouch,진단1;hold=3,굴곡신전,,,,,,,
9,두개골PJ교정,교정,파지,2,1,0,"보조수인 왼손은 환자의 후두골을 받쳐 잡고, 주동수인 오른손은 우측 관골궁과 유양돌기를 감싸 파지하세요.",파지,OM교정,cranialGrip,,,,,,,,,
9,두개골PJ교정,교정,굴곡외회전,3,1,0,"보조수인 왼손으로 후두골을 굴곡 방향으로 움직이고,
주동수인 오른손으로 관골궁과 유양돌기를 외회전 방향으로 돌려 잠그세요.",굴곡외회전,,cranialPressure,2,,,,,,,,
9,두개골PJ교정,교정,견착,4,1,0,후두골을 잡은 팔의 삼각근을 환자의 이마에 밀착시켜 견착하세요.,견착,,cranialPressure,2,,,,,,,,
9,두개골PJ교정,교정,호흡,5,1,0,크게 들이마신 뒤 숨을 끝까지 내쉬도록 유도하세요.,호흡1,,cranialDepthBreath,gripGate;breaths=1;inhale=2;exhale=6;start=inhale,굴곡신전,,,,,,,
9,두개골PJ교정,교정,전환,6,1,3,"보조수인 왼손은 신전 방향으로, 주동수인 오른손은 내회전 방향으로 바꿔 잠그세요.",전환,,,,굴곡신전,,,,,,,
9,두개골PJ교정,교정,호흡2,7,1,0,"첫 호흡은 깊게, 이어지는 2회는 평상 호흡으로 총 3회 유지하세요.",호흡2,,cranialDepthBreath,gripGate;breaths=3;inhale=2;exhale=4;start=inhale;firstScale=1.5,굴곡신전,,,,,,,
9,두개골PJ교정,재평가,재평가,8,1,10,다시 처음 위치에서 굴곡과 외회전이 정상적으로 일어나는지 재평가합니다. 기법을 종료합니다.,재평가,PM 진단 좌,cranialTouch,진단1;hold=3,,,,,,,,
9,두개골PJ교정,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",종료,,,,,,,,,,,
