scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
1,복와위_하부흉추_굴곡변위,시작,가이드,0,1,0,필요시 [설정]으로 환자 위치를 맞추고 [시작]을 누르세요.,시작,,,,,,,,,,,
1,복와위_하부흉추_굴곡변위,평가,진단,1,1,0,극돌기 양쪽 횡돌기를 쓸며 볼록한 하부 흉추를 찾으세요.,진단1,,,xray,복와위 대기,,,,,,,
1,복와위_하부흉추_굴곡변위,평가,진단,1,2,0,검지와 중지를 모아 흉추를 두방에서 족방으로 한 번 쓸어내리세요.,,복와위 하부흉추 진단1,cranialGlide,xray,,,,,,,,
1,복와위_하부흉추_굴곡변위,평가,진단,1,3,0,양손 엄지를 극돌기 양쪽에 대고 3초간 유지하세요.,,복와위 하부흉추 진단2,cranialTouch,진단1;hold=3;xray;stack=0.10;finger=thumb,,,,,,,,
1,복와위_하부흉추_굴곡변위,교정,파지,2,1,0,환자의 대측면에서 환측을 향해 빗장 자세로 서세요.,파지1,,,xray,,,,,,,,
1,복와위_하부흉추_굴곡변위,교정,파지,2,2,0,"주동수 두상골을 환측 횡돌기에, 보조수 두상골을 대측 횡돌기에 접촉하세요.",파지2,,,xray,,,,,,,,
1,복와위_하부흉추_굴곡변위,교정,파지,2,3,0,※중앙에서 2인치를 벗어나면 늑골 골절 위험이 있습니다.,파지3,,,xray,,,,,,,,
1,복와위_하부흉추_굴곡변위,교정,파지,2,4,0,족방수 두상골을 횡돌기에 먼저 거세요.,,복와위 하부흉추 족방수,cranialGrip,xray;hand=left,,,,,,,,
1,복와위_하부흉추_굴곡변위,교정,파지,2,5,0,이어서 두방수 두상골을 반대쪽 횡돌기에 걸어 두 두상골을 맞붙이세요.,,복와위 하부흉추 두방수,cranialGrip,xray;hand=right;handAfter=both,,,,,,,,
1,복와위_하부흉추_굴곡변위,교정,교정,3,1,0,환자에게 숨을 크게 들이마시게 하세요.,교정1,,,xray,,,,,,,,
1,복와위_하부흉추_굴곡변위,교정,교정,3,2,0,"내쉬는 숨을 따라가다 완전히 내쉬는 순간, 주동수는 후방에서 전방으로 보조수는 두방에서 족방으로 순간 교정하세요.",교정2,,cranialDepthBreath,gripGate;breaths=1;inhale=4;exhale=4;start=inhale;handThrust=0.02;xray,,,,,,,,
1,복와위_하부흉추_굴곡변위,재평가,재평가,4,1,10,굴곡변위가 없어졌는지 다시 확인하세요.,재평가,,,xray,,,,,,,,
1,복와위_하부흉추_굴곡변위,재평가,재평가,4,2,0,양손 엄지를 극돌기 양쪽에 다시 대고 확인하세요.,,,cranialTouch,진단1;hold=3;xray,,,,,,,,
1,복와위_하부흉추_굴곡변위,종료,가이드,0,1,0,실습을 마칩니다. [메인] 버튼을 누르세요.,종료,,,,,,,,,,,
