scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
10,앙와위_흉추_굴곡변위,시작,가이드,0,1,0,필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다<br>[시작] 버튼을 눌러 실습을 시작합니다,시작,,,,,,,,,,,
10,앙와위_흉추_굴곡변위,평가,준비,1,1,0,"누워 있는 환자에게 양반다리로 앉은 자세를 안내하고, 실습생의 무릎을 환자의 흉추 중앙선에 위치시킵니다.<br>환자의 머리나 어깨를 터치하면 다음 동작이 진행됩니다.",준비1,,,,,,,,,,,
10,앙와위_흉추_굴곡변위,평가,준비,1,2,0,환자의 머리나 어깨를 한 번 터치하면 환자가 양반다리로 앉습니다.,,,PassiveStretch,touchOnce,양반다리,,,,HeadAndShoulder,,,
10,앙와위_흉추_굴곡변위,평가,준비,1,3,0,환자가 머리 뒤로 양손 깍지를 끼도록 안내하세요.<br>환자의 머리나 어깨를 터치하면 다음 동작이 진행됩니다.,준비2,,,,,,,,,,,
10,앙와위_흉추_굴곡변위,평가,준비,1,4,0,환자의 머리나 어깨를 한 번 터치하면 환자가 머리 뒤로 양손 깍지를 낍니다.,,,PassiveStretch,touchOnce,양손깍지,,,,HeadAndShoulder,,,
10,앙와위_흉추_굴곡변위,평가,준비,1,5,0,"환자의 고개를 살짝 숙이게 한 뒤, 실습생의 허벅지에 기대어 눕는 자세를 만듭니다.<br>환자의 머리나 어깨를 터치하면 다음 동작이 진행됩니다.",준비3,,,,,,,,,,,
10,앙와위_흉추_굴곡변위,평가,준비,1,6,0,환자의 머리나 어깨를 한 번 터치하면 환자가 실습생 쪽으로 기대어 눕습니다.,,,PassiveStretch,touchOnce,기대기,,,,HeadAndShoulder,,,
10,앙와위_흉추_굴곡변위,교정,파지,2,1,0,환자의 겨드랑이를 지나 흉추 쪽으로 양손을 넣어 지지하세요. 환자의 목이 꺾이지 않게 간격을 유지합니다.<br>※주의: 여성 환자의 경우 유방에 손이 닿지 않도록 조심합니다.,파지,,,xray,,,,,,,,
10,앙와위_흉추_굴곡변위,교정,파지,2,2,2,환자의 등(흉추) 좌우에 양손을 각각 대고 그대로 유지하세요.,,흉추 굴곡 교정,PassiveStretch,bothHands;xray,,,,,Back,,,
10,앙와위_흉추_굴곡변위,교정,교정·호흡,3,1,0,"환자가 숨을 들이마시고 내쉴 때, 무릎을 전방으로 밀면서 실습생의 몸통 쪽으로 당겨 압박을 가하세요.",교정1,흉추 굴곡 교정,HandPose,startHoldOnly;palmSupport;xray,,,,,Back,,,
10,앙와위_흉추_굴곡변위,재평가,재평가,4,1,10,흉추 굴곡변위가 정상적으로 교정되었는지 재평가합니다. 기법을 종료합니다.,재평가,,,,,,,,,,,
10,앙와위_흉추_굴곡변위,종료,가이드,0,1,0,실습을 마칩니다<br>[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요,종료,,,,,,,,,,,
