scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
1,앙와위_흉추_신전변위,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",시작,,,,,,,,,,,
1,앙와위_흉추_신전변위,평가,준비,1,1,0,환자의 무릎을 터치하세요.,,,PassiveStretch,touchOnce,무릎 세우기,,,,Knee,,,
1,앙와위_흉추_신전변위,평가,준비,1,2,0,환자의 팔을 터치하세요.,,,PassiveStretch,touchOnce,팔모으기,,,,Arms,,,
1,앙와위_흉추_신전변위,교정,파지,2,1,0,환자의 팔을 배 위로 걸어 고정하세요.,파지1,,,xray,,,,,,,,
1,앙와위_흉추_신전변위,교정,파지,2,2,0,좌우 흉추 파지점에 양손을 대세요.,파지2,,,xray,,,,,,,,
1,앙와위_흉추_신전변위,교정,파지,2,3,0,양손을 파지점에 대고 유지하세요.,,흉추 신전 당기기,cranialGrip,xray,,,,,,,,
1,앙와위_흉추_신전변위,교정,교정,3,1,0,숨을 내쉴 때 환자를 몸 쪽으로 당겨 지지손에 분절을 겁니다.,교정2,,,xray,,,,,,,,
1,앙와위_흉추_신전변위,교정,교정,3,2,0,등에 손을 댄 채 유지하면 환자가 몸 쪽으로 끌려옵니다.,,,PassiveStretch,xray,환자세우기,,,,Back,,,
1,앙와위_흉추_신전변위,교정,교정,3,3,0,체중을 실어 가볍게 바디드롭하세요.,교정3,,,xray,,,,,,,,
1,앙와위_흉추_신전변위,교정,교정,3,4,0,등에 손을 댄 채 유지하면 환자가 내려갑니다.,,,PassiveStretch,xray,환자내리기,,,,Back,,,
1,앙와위_흉추_신전변위,교정,교정,3,5,0,등에 손을 댄 채 유지하면 환자가 완전히 눕습니다.,,,PassiveStretch,xray,원복,,,,Back,,,
1,앙와위_흉추_신전변위,재평가,재평가,4,1,10,신전변위가 정상적으로 교정되었는지 재평가합니다. 기법을 종료합니다.,재평가,,,,,,,,,,,
1,앙와위_흉추_신전변위,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",종료,,,,,,,,,,,
