scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
1,제2늑골_상방변위,시작,가이드,0,1,0,필요시 [설정]으로 환자 위치를 맞추고 [시작]을 누르세요.,시작,,,,,,,,,,,
1,제2늑골_상방변위,평가,진단,1,1,0,쇄골 바깥에서 후방·족방으로 밀어 올라온 쪽을 상방변위로 진단합니다.,진단1,,,,,,,,,,,
1,제2늑골_상방변위,평가,진단,1,2,0,양손 엄지를 좌우 쇄골 바깥에 대고 높이 차이를 확인하세요.,,제2늑골 진단,cranialTouch,진단1;hold=3;xray,,,,,,,,
1,제2늑골_상방변위,교정,준비,2,1,0,환자의 머리나 어깨를 터치해 고개를 돌리게 하세요.,파지1,,,xray,,,,,,,,
1,제2늑골_상방변위,교정,준비,2,2,0,머리나 어깨를 한 번 터치하면 고개가 돌아갑니다.,,,PassiveStretch,touchOnce;xray,제2늑골 고개회전,,,,HeadAndShoulder,,,
1,제2늑골_상방변위,교정,준비,2,3,0,제2늑골 부위에 두상골을 접촉하세요.,파지2,제2늑골 두상골,cranialGrip,xray;hand=right,,,,,,,,
1,제2늑골_상방변위,교정,준비,2,4,0,다른 손으로 환자의 팔을 잡아 외전시키세요.,파지3,,,xray,,,,,,,,
1,제2늑골_상방변위,교정,준비,2,5,0,팔을 한 번 터치하면 외전됩니다.,,,PassiveStretch,touchOnce;xray,제2늑골 팔 외전,,,,Arms,,,
1,제2늑골_상방변위,교정,준비,2,6,0,"두상골은 늑골에, 반대 손은 팔에 댄 파지를 유지하세요.",,,cranialGrip,xray,,,,,,,,
1,제2늑골_상방변위,교정,교정·호흡,3,1,0,늑골에 댄 손은 계속 족방으로 지지하세요.,교정1,,,xray,,,,,,,,
1,제2늑골_상방변위,교정,교정·호흡,3,2,0,제2늑골을 족방으로 누른 상태를 유지하세요.,,,cranialPressure,3;xray,,,,,,,,
1,제2늑골_상방변위,교정,교정·호흡,3,3,0,"팔이 중심선을 넘지 않게 잡고, 호흡에 맞춰 올리고 내리세요.",교정2,,,xray,,,,,,,,
1,제2늑골_상방변위,교정,교정·호흡,3,4,0,총 3회 반복하세요.,교정3,,,xray,,,,,,,,
1,제2늑골_상방변위,교정,교정·호흡,3,5,0,가이드손을 따라 팔을 천천히 올려 보세요.,,제2늑골 교정1,,guideOnly;xray;hand=left;handAfter=none,제2늑골 팔 교정,,,,Arms,,,
1,제2늑골_상방변위,교정,교정·호흡,3,6,0,이어서 팔을 천천히 내려 보세요.,,제2늑골 교정1 역재생,,guideOnly;xray;hand=left;handAfter=none,제2늑골 팔 교정2,,,,Arms,,,
1,제2늑골_상방변위,교정,교정·호흡,3,7,0,이제 직접 합니다. 팔을 올렸다 내리기를 3회 반복하세요.,,제2늑골 교정1,,xray;startHold=0;touch=6;zone=0.15;noGuide,제2늑골 팔 교정,position,,,Arms,,,
1,제2늑골_상방변위,재평가,재평가,4,1,0,환자를 중립 자세로 되돌립니다. 제2늑골 좌우 균형을 다시 확인하세요.,재평가,,,,제1늑골중립,,,,,,,
1,제2늑골_상방변위,재평가,재평가,4,2,10,양손 엄지를 좌우 쇄골 바깥에 다시 대고 확인하세요.,,제2늑골 진단,cranialTouch,진단1;hold=3;xray,,,,,,,,
1,제2늑골_상방변위,종료,가이드,0,1,0,실습을 마칩니다. [메인] 버튼을 누르세요.,종료,,,,,,,,,,,
