scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime
4,흉쇄유돌근,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",시작,,,,,,,
4,흉쇄유돌근,,진단,1,1,0,머리를 약간 신전한 뒤 건측으로 회전하세요.,환측회전,흉쇄유돌근 환측회전,,,SCM회전,rotation,1:02,1:08
4,흉쇄유돌근,,진단,1,2,0,무릎을 천천히 내려 진단하세요.,하강,흉쇄유돌근 환측회전,,,SCM회전,rotation,1:47,1:50
4,흉쇄유돌근,,진단,1,3,0,중립으로 돌아오세요.,중립,,,,흉쇄 중립,,,
4,흉쇄유돌근,,제한장벽확인,2,1,0,머리를 약간 신전한 뒤 건측으로 회전하세요.,환측회전,흉쇄유돌근 환측회전,,,SCM회전,rotation,1:02,1:08
4,흉쇄유돌근,,제한장벽확인,2,2,0,무릎을 천천히 내려 제한장벽을 확인하세요.,하강,흉쇄유돌근 환측회전,,,SCM회전,rotation,1:47,1:50
4,흉쇄유돌근,,제한장벽확인,2,3,0,중간범위로 되돌리세요.,,,,,흉쇄유돌근 전부 중간,,1:14,1:33
4,흉쇄유돌근,,등척성운동,3,1,7,"숨을 들이쉬게 한 뒤, 머리를 들어올리게 하며 반대 힘을 주세요. 6~7초간 유지합니다.",등척성운동,흉쇄유돌근 등척성운동,,,,,,
4,흉쇄유돌근,,스트레칭,4,1,0,"숨을 내쉬게 한 뒤, 휴지기 4초 후 8초간 스트레칭하세요.",스트레칭,흉쇄유돌근 환측회전,PassiveStretch,,흉쇄 스트레칭,position,1:34,1:43
4,흉쇄유돌근,,스트레칭,4,2,0,중립으로 돌아오세요.,중립,,,,흉쇄 중립,,,
4,흉쇄유돌근,,재평가,5,1,0,재평가를 위해 환측 회전하세요.,재평가,흉쇄유돌근 환측회전,,,SCM회전,rotation,1:47,1:50
4,흉쇄유돌근,,재평가,5,2,0,무릎을 천천히 내려 가동범위 변화를 확인하세요.,하강,흉쇄유돌근 환측회전,,,SCM회전,rotation,1:47,1:50
4,흉쇄유돌근,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",종료,,,,흉쇄 중립,,,
