SessionId,Phase,Step,Time,LeftSimilarity,RightSimilarity
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,2.764,1.0000,0.9543
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,2.875,1.0000,0.9576
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,2.986,1.0000,0.9538
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,3.097,1.0000,0.9495
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,3.208,1.0000,0.9497
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,3.319,1.0000,0.9484
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,3.430,1.0000,0.9155
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,3.541,1.0000,0.9049
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,3.652,1.0000,0.9243
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,3.764,1.0000,0.9292
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,3.874,1.0000,0.9216
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,3.986,1.0000,0.9049
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,4.097,1.0000,0.8943
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,4.208,1.0000,0.8838
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,4.319,1.0000,0.8891
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,4.430,1.0000,0.8855
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,4.541,1.0000,0.8774
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,4.652,1.0000,0.8711
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,4.763,1.0000,0.8691
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,4.874,1.0000,0.8604
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,4.985,1.0000,0.8607
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,5.097,1.0000,0.8548
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,5.208,1.0000,0.8512
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,5.319,1.0000,0.8300
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,5.430,1.0000,0.8004
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,5.541,1.0000,0.8039
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,5.652,1.0000,0.7999
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,5.763,1.0000,0.8004
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,5.874,1.0000,0.8273
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,5.985,1.0000,0.8836
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,6.097,1.0000,0.8869
