SessionId,Phase,Step,Time,LeftSimilarity,RightSimilarity
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,4.819,1.0000,0.9289
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,4.930,1.0000,0.9319
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,5.041,1.0000,0.9284
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,5.152,1.0000,0.9271
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,5.264,1.0000,0.9287
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,5.375,1.0000,0.9322
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,5.486,1.0000,0.9272
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,5.597,1.0000,0.9054
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,5.708,1.0000,0.8732
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,5.820,1.0000,0.8808
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,5.930,1.0000,0.8570
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,6.041,1.0000,0.8613
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,6.153,1.0000,0.8764
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,6.264,1.0000,0.8684
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,6.375,1.0000,0.8536
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,6.486,1.0000,0.8450
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,6.597,1.0000,0.8586
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,6.708,1.0000,0.8654
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,6.819,1.0000,0.8670
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,6.930,1.0000,0.8555
787950ee-d911-4930-860b-d9287630c048,전부,제한장벽확인,7.041,1.0000,0.8420
