SessionId,Phase,Step,Time,LeftSimilarity,RightSimilarity
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,3.235,1.0000,0.9221
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,3.347,1.0000,0.9260
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,3.458,1.0000,0.9253
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,3.569,1.0000,0.9172
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,3.680,1.0000,0.9404
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,3.791,1.0000,0.9230
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,3.902,1.0000,0.9109
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,4.013,1.0000,0.8945
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,4.124,1.0000,0.8974
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,4.235,1.0000,0.8924
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,4.346,1.0000,0.8855
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,4.458,1.0000,0.8912
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,4.569,1.0000,0.8789
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,4.680,1.0000,0.8624
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,4.791,1.0000,0.8634
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,4.902,1.0000,0.8585
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,5.013,1.0000,0.8518
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,5.124,1.0000,0.8451
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,5.235,1.0000,0.8446
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,5.346,1.0000,0.8395
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,5.458,1.0000,0.8417
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,5.568,1.0000,0.8416
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,5.680,1.0000,0.8327
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,5.791,1.0000,0.8286
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,5.902,1.0000,0.8280
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,6.013,1.0000,0.8238
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,6.124,1.0000,0.8208
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,6.235,1.0000,0.8192
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,6.346,1.0000,0.8148
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,6.458,1.0000,0.8153
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,6.568,1.0000,0.8153
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,6.679,1.0000,0.8143
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,6.791,1.0000,0.8131
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,6.902,1.0000,0.8111
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,7.013,1.0000,0.8094
f5b814ad-d595-4569-a221-c8be638bae6b,전부,제한장벽확인,7.124,1.0000,0.8079
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,3.499,1.0000,0.8859
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,3.610,1.0000,0.8061
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,3.721,1.0000,0.8072
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,3.832,1.0000,0.8102
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,3.943,1.0000,0.8031
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,4.054,1.0000,0.7946
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,4.165,1.0000,0.7908
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,4.277,1.0000,0.7940
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,4.388,1.0000,0.8011
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,4.499,1.0000,0.8072
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,4.610,1.0000,0.8380
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,4.721,1.0000,0.8630
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,4.832,1.0000,0.8575
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,4.943,1.0000,0.8367
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,5.054,1.0000,0.8067
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,5.165,1.0000,0.7694
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,5.277,1.0000,0.7974
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,5.387,1.0000,0.7956
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,5.499,1.0000,0.7936
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,5.610,1.0000,0.7748
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,5.721,1.0000,0.7767
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,5.832,1.0000,0.7751
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,5.943,1.0000,0.7670
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,6.054,1.0000,0.7609
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,6.165,1.0000,0.7584
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,6.277,1.0000,0.7625
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,6.387,1.0000,0.7587
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,6.499,1.0000,0.7600
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,6.610,1.0000,0.7559
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,6.721,1.0000,0.7596
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,6.832,1.0000,0.7520
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,6.943,1.0000,0.7445
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,7.054,1.0000,0.7381
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,7.165,1.0000,0.7391
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,7.276,1.0000,0.7393
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,7.387,1.0000,0.7436
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,7.499,1.0000,0.7467
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,7.610,1.0000,0.7434
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,7.721,1.0000,0.7476
f5b814ad-d595-4569-a221-c8be638bae6b,전부,스트레칭,7.832,1.0000,0.7484
