SessionId,Phase,Step,Time,LeftSimilarity,RightSimilarity
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,3.597,1.0000,0.9470
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,3.708,1.0000,0.9481
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,3.819,1.0000,0.9516
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,3.930,1.0000,0.9496
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,4.041,1.0000,0.9591
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,4.152,1.0000,0.9547
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,4.263,1.0000,0.9459
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,4.374,1.0000,0.9427
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,4.485,1.0000,0.9280
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,4.596,1.0000,0.9309
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,4.707,1.0000,0.9127
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,4.819,1.0000,0.9042
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,4.930,1.0000,0.8949
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,5.041,1.0000,0.8836
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,5.152,1.0000,0.8769
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,5.263,1.0000,0.8733
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,5.374,1.0000,0.8714
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,5.485,1.0000,0.8679
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,5.596,1.0000,0.8610
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,5.707,1.0000,0.8603
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,5.818,1.0000,0.8566
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,5.930,1.0000,0.8577
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,6.041,1.0000,0.8680
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,6.152,1.0000,0.8642
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,6.263,1.0000,0.8613
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,6.374,1.0000,0.8618
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,6.485,1.0000,0.8631
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,6.596,1.0000,0.8625
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,6.707,1.0000,0.8636
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,6.818,1.0000,0.8610
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,제한장벽확인,6.930,1.0000,0.8616
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,스트레칭,3.597,1.0000,0.9341
9e11ad9a-a89b-4ba6-94a9-d7628e04cd20,전부,스트레칭,3.708,1.0000,0.8534
