SessionId,Phase,Step,Time,LeftSimilarity,RightSimilarity
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,3.667,1.0000,0.9410
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,3.778,1.0000,0.9411
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,3.889,1.0000,0.9378
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,4.000,1.0000,0.9360
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,4.111,1.0000,0.9342
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,4.222,1.0000,0.9199
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,4.333,1.0000,0.8862
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,4.444,1.0000,0.8440
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,4.555,1.0000,0.8498
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,4.667,1.0000,0.8334
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,4.777,1.0000,0.8392
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,4.889,1.0000,0.8331
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,5.000,1.0000,0.8299
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,5.111,1.0000,0.8279
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,5.222,1.0000,0.8287
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,5.333,1.0000,0.8261
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,5.444,1.0000,0.8248
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,5.555,1.0000,0.8219
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,5.666,1.0000,0.8156
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,5.777,1.0000,0.8128
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,5.889,1.0000,0.8084
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,제한장벽확인,6.000,1.0000,0.8014
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,2.444,1.0000,0.9003
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,2.555,1.0000,0.8150
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,2.666,1.0000,0.8157
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,2.777,1.0000,0.8157
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,2.889,1.0000,0.8164
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,3.000,1.0000,0.8150
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,3.111,1.0000,0.7926
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,3.222,1.0000,0.8007
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,3.333,1.0000,0.8026
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,3.444,1.0000,0.8029
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,3.555,1.0000,0.7958
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,3.666,1.0000,0.7884
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,3.777,1.0000,0.7811
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,3.889,1.0000,0.7719
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,4.000,1.0000,0.7658
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,4.111,1.0000,0.7681
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,4.222,1.0000,0.7708
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,4.333,1.0000,0.7719
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,4.445,1.0000,0.7663
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,4.556,1.0000,0.7717
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,4.667,1.0000,0.7689
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,4.778,1.0000,0.7697
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,스트레칭,4.889,1.0000,0.7828
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,2.139,1.0000,0.9669
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,2.250,1.0000,0.9652
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,2.361,1.0000,0.9652
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,2.472,1.0000,0.9645
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,2.584,1.0000,0.9660
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,2.695,1.0000,0.9487
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,2.806,1.0000,0.9274
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,2.917,1.0000,0.8886
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,3.028,1.0000,0.8856
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,3.140,1.0000,0.8788
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,3.250,1.0000,0.8677
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,3.362,1.0000,0.8605
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,3.473,1.0000,0.8525
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,3.584,1.0000,0.8474
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,3.695,1.0000,0.8447
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,3.806,1.0000,0.8429
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,3.917,1.0000,0.8386
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,4.029,1.0000,0.8305
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,4.140,1.0000,0.8247
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,4.251,1.0000,0.8119
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,4.362,1.0000,0.8101
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,4.473,1.0000,0.8017
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,4.584,1.0000,0.7978
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,4.695,1.0000,0.7966
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,4.807,1.0000,0.7972
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,4.918,1.0000,0.7983
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,5.029,1.0000,0.7988
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,5.140,1.0000,0.8164
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,5.251,1.0000,0.8331
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,5.362,1.0000,0.8621
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,5.473,1.0000,0.8749
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,5.584,1.0000,0.8777
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,5.696,1.0000,0.8811
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,5.807,1.0000,0.8801
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,5.918,1.0000,0.8772
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,6.029,1.0000,0.8703
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,6.140,1.0000,0.8631
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,6.252,1.0000,0.8587
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,6.363,1.0000,0.8553
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,6.474,1.0000,0.8392
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,6.585,1.0000,0.8350
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,6.696,1.0000,0.8375
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,6.807,1.0000,0.8394
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,6.918,1.0000,0.8435
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,7.029,1.0000,0.8441
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,7.141,1.0000,0.8418
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,7.251,1.0000,0.8376
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,7.363,1.0000,0.8359
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,7.473,1.0000,0.8326
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,7.584,1.0000,0.8292
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,7.695,1.0000,0.8214
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,7.806,1.0000,0.8122
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,7.917,1.0000,0.8026
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,8.029,1.0000,0.7943
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,8.140,1.0000,0.7904
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,8.250,1.0000,0.7897
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,8.362,1.0000,0.7892
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,8.473,1.0000,0.7889
07f15f73-6a78-463b-8b78-f25c9aaeb6a4,전부,재평가,8.584,1.0000,0.7898
