scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
1,대흉근,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",시작,,,,,,,,,,,
1,대흉근,진단,진단,1,1,2,우측 대흉근의 단축 여부를 촉진하여 평가하세요.,평가1,,,,,,,,,,,
1,대흉근,진단,진단,1,2,2,반대쪽도 동일하게 평가하세요.,평가2,,,,,,,,,,,
1,대흉근,흉골지,가이드,0,1,0,[시작] 버튼을 눌러 흉골지 섬유를 진행하세요,흉골지시작,,,,,,,,,,,
1,대흉근,흉골지,제한장벽확인,2,1,0,보조수를 흉골 외측 2cm 부위에 위치하세요.,보조수,대흉근 보조수,,guideOnly,보조수 위치,,,,LeftArm,,,
1,대흉근,흉골지,제한장벽확인,2,2,0,환측 팔을 90도 외전하여 주동수를 위치하세요.,흉골지,흉골지 주동수,,guideOnly,흉골지 자세,,,,RightArm,,,
1,대흉근,흉골지,제한장벽확인,2,3,0,팔을 수평 외전하여 제한장벽을 확인하세요.,흉골지외전,흉골지 외전,,,흉골지 외전,position,1:02,1:08,,RightUpperArm,Z,
1,대흉근,흉골지,제한장벽확인,2,4,0,중간범위로 되돌리세요.,,,,,흉골지 중간,,1:14,1:33,,,,
1,대흉근,흉골지,등척성운동,3,1,7,"숨을 들이쉬게 한 뒤, 팔꿈치를 위로 올리게 하며 최대 힘의 20%로 6~7초간 등척성 수축을 실시하세요.",등척성운동,흉골지 등척성,,,,,,,,,,
1,대흉근,흉골지,스트레칭,4,1,0,"숨을 내쉬게 한 뒤, 휴지기 4초 후 8초간 수평 외전 방향으로 스트레칭하세요.",스트레칭,흉골지 외전,,,흉골지 외전,position,1:34,1:43,,RightUpperArm,Z,
1,대흉근,흉골지,스트레칭,4,2,0,중립으로 돌아오세요.,중립,,,,흉골지 중립,,,,,,,
1,대흉근,흉골지,재평가,5,1,0,재평가를 위해 주동수를 위치하세요.,흉골지,흉골지 주동수,,guideOnly,흉골지 자세,,,,RightArm,,,
1,대흉근,흉골지,재평가,5,2,0,팔을 수평 외전하여 가동범위 변화를 확인하세요.,재평가,흉골지 외전,,,흉골지 외전,position,1:47,1:50,,RightUpperArm,Z,
1,대흉근,쇄골지,가이드,0,1,0,"흉골지 섬유 확인이 끝났습니다
[시작] 버튼을 눌러 쇄골지 섬유를 진행하세요",쇄골지시작,,,,흉골지 중립,,,,,,,
1,대흉근,쇄골지,제한장벽확인,2,1,0,"쇄골 앞 중간 부위에 보조수를 유지한 채, 환측 팔을 45도 외전하여 주동수를 위치하세요.",쇄골지,쇄골지 주동수,,guideOnly,쇄골지 자세,,,,RightArm,,,
1,대흉근,쇄골지,제한장벽확인,2,2,0,팔을 수평 외전하여 제한장벽을 확인하세요.,쇄골지외전,쇄골지 외전,,,쇄골지 외전,position,2:08,2:11,,RightUpperArm,Z,
1,대흉근,쇄골지,제한장벽확인,2,3,0,중간범위로 되돌리세요.,,,,,쇄골지 중간,,,,,,,
1,대흉근,쇄골지,등척성운동,3,1,7,"숨을 들이쉬게 한 뒤, 팔꿈치를 위로 올리게 하며 최대 힘의 20%로 6~7초간 등척성 수축을 실시하세요.",등척성운동,쇄골지 등척성,,,,,2:11,2:32,,,,
1,대흉근,쇄골지,스트레칭,4,1,0,"숨을 내쉬게 한 뒤, 휴지기 4초 후 8초간 수평 외전 방향으로 스트레칭하세요.",스트레칭,쇄골지 외전,,,쇄골지 외전,position,2:32,2:44,,RightUpperArm,Z,
1,대흉근,쇄골지,스트레칭,4,2,0,중립으로 돌아오세요.,중립,,,,쇄골지 중립,,,,,,,
1,대흉근,쇄골지,재평가,5,1,0,재평가를 위해 주동수를 위치하세요.,쇄골지,쇄골지 주동수,,guideOnly,쇄골지 자세,,,,RightArm,,,
1,대흉근,쇄골지,재평가,5,2,0,팔을 수평 외전하여 가동범위 변화를 확인하세요.,재평가,쇄골지 외전,,,쇄골지 외전,position,2:45,2:54,,RightUpperArm,Z,
1,대흉근,늑골지,가이드,0,1,2,"쇄골지 섬유 확인이 끝났습니다
[시작] 버튼을 눌러 늑골지 섬유를 진행하세요",늑골지시작,,,,쇄골지 중립,,,,,,,
1,대흉근,늑골지,제한장벽확인,2,1,0,"늑연골 부위에 보조수를 유지한 채, 환측 팔을 135도 외전하여 주동수를 위치하세요.",늑골지,늑골지 주동수,,guideOnly,늑골지 자세,,,,RightArm,,,
1,대흉근,늑골지,제한장벽확인,2,2,0,팔을 수평 외전하여 제한장벽을 확인하세요.,늑골지외전,늑골지 외전,,,늑골지 외전,position,2:57,3:00,,RightUpperArm,Z,
1,대흉근,늑골지,제한장벽확인,2,3,0,중간범위로 되돌리세요.,,,,,늑골지 중간,,,,,,,
1,대흉근,늑골지,등척성운동,3,1,7,"숨을 들이쉬게 한 뒤, 팔꿈치를 위로 올리게 하며 최대 힘의 20%로 6~7초간 등척성 수축을 실시하세요.",등척성운동,늑골지 등척성,,,,,3:12,3:24,,,,
1,대흉근,늑골지,스트레칭,4,1,0,"숨을 내쉬게 한 뒤, 휴지기 4초 후 8초간 수평 외전 방향으로 스트레칭하세요.",스트레칭,늑골지 외전,,,늑골지 외전,position,3:24,3:34,,RightUpperArm,Z,
1,대흉근,늑골지,스트레칭,4,2,0,중립으로 돌아오세요.,중립,,,,늑골지 중립,,,,,,,
1,대흉근,늑골지,재평가,5,1,0,재평가를 위해 주동수를 위치하세요.,늑골지,늑골지 주동수,,guideOnly,늑골지 자세,,,,RightArm,,,
1,대흉근,늑골지,재평가,5,2,0,팔을 수평 외전하여 가동범위 변화를 확인하세요.,재평가,늑골지 외전,,,늑골지 외전,position,3:37,3:39,,RightUpperArm,Z,
1,대흉근,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",종료,,,,늑골지 중립,,,,,,,
